"","0.948","0.949","0.95","0.951","0.952"
"A","81.665","81.823","82.202","82.798","83.394"
"T.A"," 3.766"," 3.869"," 3.966"," 4.057"," 4.148"
"S"," 3.766"," 3.869"," 3.966"," 4.057"," 4.148"
"T.M"," 3.766"," 3.869"," 3.966"," 4.057"," 4.148"
"M","81.665","81.823","82.202","82.798","83.394"
