"","0.948","0.949","0.95","0.951","0.952"
"A","189.644","191.697","192.939","194.314","195.693"
"T.A","174.637","176.722","178.978","182.274","183.802"
"S","  4.840","  4.840","  4.840","  4.840","  5.280"
"T.M","174.637","176.722","178.978","182.274","183.802"
"M","189.644","191.697","192.939","194.314","195.693"
