"","0.948","0.949","0.95","0.951","0.952"
"A","189.644","191.697","192.939","194.314","195.693"
"T.A","141.092","145.168","148.287","151.701","155.263"
"S","  4.840","  4.840","  4.840","  4.840","  5.280"
"T.M","141.092","145.168","148.287","151.701","155.263"
"M","189.644","191.697","192.939","194.314","195.693"
