"","0.948","0.949","0.95","0.951","0.952"
"A","189.644","191.697","192.939","194.314","195.693"
"T.A","181.732","183.397","185.321","187.049","189.231"
"S","  4.840","  4.840","  4.840","  4.840","  5.280"
"T.M","181.732","183.397","185.321","187.049","189.231"
"M","189.644","191.697","192.939","194.314","195.693"
