"","0.948","0.949","0.95","0.951","0.952"
"A","189.644","191.697","192.939","194.314","195.693"
"T.A","188.722","191.345","192.672","194.002","195.370"
"S","  4.840","  4.840","  4.840","  4.840","  5.280"
"T.M","188.722","191.345","192.672","194.002","195.370"
"M","189.644","191.697","192.939","194.314","195.693"
