"","0.948","0.949","0.95","0.951","0.952"
"A","189.644","191.697","192.939","194.314","195.693"
"T.A"," 13.258"," 17.202"," 28.515"," 62.219","129.121"
"S","  4.840","  4.840","  4.840","  4.840","  5.280"
"T.M","109.301","115.691","121.607","124.955","131.373"
"M","189.644","191.697","192.939","194.314","195.693"
