"","0.948","0.949","0.95","0.951","0.952"
"A","189.644","191.697","192.939","194.314","195.693"
"T.A","187.205","188.626","190.824","192.564","193.624"
"S","  4.840","  4.840","  4.840","  4.840","  5.280"
"T.M","187.205","188.626","190.824","192.564","193.624"
"M","189.644","191.697","192.939","194.314","195.693"
