"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A","94.617","95.193","96.090","96.784","97.375"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M","94.617","95.193","96.090","96.784","97.375"
"M","95.071","95.648","96.323","97.049","97.808"
