"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A","93.910","94.505","95.083","96.070","96.749"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M","93.910","94.505","95.083","96.070","96.749"
"M","95.071","95.648","96.323","97.049","97.808"
