"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A","87.831","88.892","89.899","91.397","92.579"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M","87.831","88.892","89.899","91.397","92.579"
"M","95.071","95.648","96.323","97.049","97.808"
