"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A"," 9.120"," 9.732","11.348","16.080","21.011"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M","18.817","42.927","53.348","56.579","60.028"
"M","95.071","95.648","96.323","97.049","97.808"
