"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A"," 7.080"," 7.680"," 7.840"," 8.360"," 9.120"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M"," 7.692"," 8.471"," 9.120","10.480","16.870"
"M","95.071","95.648","96.323","97.049","97.808"
