"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A"," 5.280"," 5.480"," 5.760"," 5.760"," 5.760"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M"," 5.290"," 5.760"," 5.760"," 5.760"," 5.760"
"M","95.071","95.648","96.323","97.049","97.808"
