"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A","60.069","65.643","69.175","71.224","73.725"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M","64.099","66.370","69.175","71.224","73.725"
"M","95.071","95.648","96.323","97.049","97.808"
