"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A","75.408","76.953","80.062","81.939","83.854"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M","75.408","76.953","80.062","81.939","83.854"
"M","95.071","95.648","96.323","97.049","97.808"
