"","0.948","0.949","0.95","0.951","0.952"
"A","95.071","95.648","96.323","97.049","97.808"
"T.A"," 6.760"," 6.760"," 7.080"," 7.120"," 7.680"
"S"," 4.840"," 4.840"," 4.840"," 4.840"," 5.280"
"T.M"," 7.080"," 7.080"," 7.680"," 7.920"," 8.469"
"M","95.071","95.648","96.323","97.049","97.808"
