"","L2_1","L2_2","L2_3","L2_4","L2_5","L2_6","L2_7","L2_8","L2_9","L2_10","L2_11","L2_12","L2_13","L2_14","L2_15","L2_16","L2_17","L2_18","L2_19","L2_20","L2_21","L2_22","L2_23","L2_24","L2_25","L2_26","L2_27","L2_28","L2_29","L2_30","L2_31","L2_32","Chisq"
"0.9",2.88,3.24,2.88,2.16,2.56,2.61333333333333,2.592,2.28571428571429,2.88,2.66666666666667,2.304,2.92571428571429,2.27555555555555,2.90909090909091,2.97846153846154,2.58133333333333,2.56,1.92,2.048,2.28571428571429,2.56,2.85090909090909,3.15076923076923,2.22720000000003,3.04941176470588,3.36842105263158,2.46857142857143,2.78260869565217,3.0976,2.37037037037037,2.67034482758621,2.97290322580645,2.70554345409542
"0.95",3.92,3.24,2.88,4.50666666666667,2.56,4.32,3.872,3.29142857142857,2.88,2.66666666666667,4.096,2.92571428571429,3.55555555555555,4.18909090909091,4.16,3.60533333333333,2.56,5.33333333333333,4.608,4.48,4.55111111111111,4.71272727272727,3.15076923076923,3.456,3.04941176470588,3.36842105263158,3.68761904761905,4.00695652173913,4.3264,3.41333333333333,3.72965517241379,4.04645161290323,3.84145882069412
"0.975",5.12,4.84,5.12,4.50666666666667,5.76,4.32,5.408,4.48,2.88,5.22666666666667,4.096,4.57142857142857,5.12,5.70181818181818,5.53846153846154,4.8,2.56,5.33333333333333,4.608,4.48,4.55111111111111,4.71272727272727,4.92307692307692,5.16266666666666,4.55529411764706,4.85052631578947,5.15047619047619,5.45391304347826,4.3264,4.64592592592593,4.96551724137931,5.28516129032258,5.02388618731488
"0.99",6.48,6.76,5.12,6,5.76,6.45333333333333,5.408,5.86697142857141,2.88,5.22666666666667,6.4,6.58285714285714,5.12,5.70181818181818,7.11384615384615,6.16533333333333,2.56,5.33333333333333,4.608,7.40571428571429,4.57671111111109,4.71272727272727,4.92307692307692,5.16266666666666,6.36235294117647,4.85052631578947,5.15047619047619,5.45391304347826,5.76,6.06814814814815,6.37793103448276,6.68903225806452,6.63489660102121
