"","L_1","L_2","L_3","L_4","L_5","L_6","L_7","L_8","L_9","L_10","L_11","L_12","L_13","L_14","L_15","L_16","L_17","L_18","L_19","L_20","L_21","L_22","L_23","L_24","L_25","L_26","L_27","L_28","L_29","L_30","L_31","L_32","Norm"
"0.01",-2.26274169979695,-2.2,-2.26274169979695,-2.12289111041209,-2.4,-2.07846096908265,-2.32551069659978,-2.11660104885167,-1.69705627484771,-2.28619042659763,-2.02891734676403,-2.1380899352994,-2.26274169979695,-2.38784802318284,-2.35339362165821,-2.19089023002066,-1.6,-2.3094010767585,-2.1466252583998,-2.11660104885167,-2.13333333333333,-2.1708816809599,-2.21880078490092,-2.27215022977502,-2.13431350031973,-2.20239104515739,-2.26946605845432,-2.33536143743924,-2.4,-2.1554410049746,-2.22834405812462,-2.29894786594272,-2.32634787404084
"0.025",-1.97989898732233,-1.8,-1.69705627484771,-2.12289111041209,-1.6,-2.07846096908265,-1.96773982019982,-1.81422947044429,-1.69705627484771,-1.63299316185545,-2.02385770250776,-1.71047194823952,-1.88561808316413,-2.04672687701386,-1.73366663462155,-1.89877153268458,-1.6,-1.3856406460551,-2.1466252583998,-2.11660104885167,-2.13333333333333,-2.1708816809599,-1.77504062792073,-1.85903200617956,-1.75595792526305,-1.83532587096449,-1.92031743407673,-2.00173837494792,-2.08,-1.8475208614068,-1.93123151704134,-2.01157938269988,-1.95996398454005
"0.05",-1.69705627484771,-1.8,-1.69705627484771,-1.46969384566991,-1.6,-1.61658075373095,-1.60996894379985,-1.51185789203691,-1.69705627484771,-1.63299316185545,-1.51789327688082,-1.71047194823952,-1.5084944665313,-1.70560573084488,-1.72582198921602,-1.60665283534849,-1.6,-1.3856406460551,-1.43108350559987,-1.51185789203691,-1.6,-1.68846352963548,-1.77504062792073,-1.85903200617956,-1.7462565002616,-1.83532587096449,-1.57116880969914,-1.6681153124566,-1.76,-1.539600717839,-1.63411897595806,-1.4368424162142,-1.64485362695147
"0.1",-1.41421356237309,-1.4,-1.13137084989848,-1.14309521329882,-1.6,-1.15470053837925,-1.25219806739988,-1.20948631362953,-1.69705627484771,-0.979795897113271,-1.51789327688082,-1.28285396117964,-1.13137084989848,-1.36448458467591,-1.41203617299493,-1.3145341380124,-1.6,-1.3856406460551,-1.43108350559987,-1.51185789203691,-1.06666666666667,-1.20604537831105,-1.33128047094055,-1.4459137825841,-1.35819950020346,-1.4682606967716,-1.22202018532156,-1.33449224996528,-1.44,-1.2316805742712,-1.33700643487477,-1.14947393297136,-1.2815515655446
"0.9",1.41421356237309,1.4,1.13137084989848,1.14309521329882,0.8,1.15470053837925,1.25219806739988,1.51185789203691,1.69705627484771,0.979795897113271,1.51789327688082,1.28285396117964,1.13137084989848,1.36448458467591,1.41203617299493,1.3145341380124,1.6,1.3856406460551,1.43108350559987,1.51185789203691,1.06666666666667,1.20604537831105,1.33128047094055,1.0741073813482,1.35819950020346,1.1011955225787,1.22202018532156,1.33449224996528,1.44,1.2316805742712,1.33700643487477,1.4368424162142,1.2815515655446
"0.95",1.69705627484771,1.8,1.69705627484771,1.48602377728845,1.6,1.61658075373095,1.60996894379985,1.81422947044429,1.69705627484771,1.63299316185545,1.51789327688082,1.71047194823952,1.5084944665313,1.70560573084488,1.72582198921602,1.60665283534849,1.6,1.3856406460551,1.43108350559987,1.51185789203691,1.6,1.68846352963548,1.77504062792073,1.4459137825841,1.7462565002616,1.4682606967716,1.57116880969914,1.6681153124566,1.76,1.539600717839,1.63411897595806,1.72421089945704,1.64485362695147
"0.975",1.97989898732233,1.8,1.69705627484771,2.12289111041209,1.6,2.07846096908265,1.96773982019982,1.81422947044429,1.69705627484771,1.63299316185545,2.02385770250776,1.71047194823952,1.88561808316413,2.04672687701386,2.03960780543711,1.89877153268458,1.6,2.3094010767585,2.1466252583998,2.11660104885167,2.13333333333333,2.1708816809599,1.77504062792073,1.85903200617956,1.7462565002616,1.83532587096449,1.92031743407673,2.00173837494792,2.08,1.8475208614068,1.93123151704134,2.01157938269988,1.95996398454005
"0.99",2.26274169979695,2.2,2.26274169979695,2.12289111041209,2.4,2.07846096908265,2.32551069659978,2.11962476463574,1.69705627484771,2.28619042659763,2.02891734676403,2.1380899352994,2.26274169979695,2.38784802318284,2.35339362165821,2.19089023002066,1.6,2.3094010767585,2.1466252583998,2.11660104885167,2.13333333333333,2.1708816809599,2.21880078490092,2.27215022977502,2.13431350031973,2.20239104515739,2.26946605845432,2.33536143743924,2.4,2.4633611485424,2.22834405812462,2.29894786594272,2.32634787404084
