"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.00000","0.00000","0.0000"
"2","3.23095","2.73264","2.49426","2.73264","3.3593"
"3","2.42570","1.86944","1.66136","1.86944","2.5708"
"4","3.82217","2.16918","1.36575","2.16918","4.5128"
"5","2.84960","2.05040","1.62864","2.05040","3.1356"
"6","1.22648","1.00001","0.84391","1.00001","1.4561"
"7","5.87321","4.24978","2.71485","4.24978","6.9929"
"8","0.56185","0.37014","0.21444","0.37014","0.7769"
"9","2.00570","1.33875","0.93037","1.33939","2.3836"
"10","2.93988","2.21847","1.70590","2.21895","3.2277"
"11","1.58680","1.23913","1.00232","1.23919","1.8256"
"12","1.80954","1.53106","1.14713","1.53136","2.0041"
"13","4.64602","3.55815","2.28474","3.55983","5.3005"
"14","5.14912","3.53566","1.87422","3.53678","6.8108"
"15","1.54472","1.01535","0.53783","1.01551","2.1958"
"16","0.06176","0.04135","0.02188","0.04137","0.0888"
"17","1.21558","0.78666","0.48496","0.78774","1.6220"
"18","2.49919","1.75393","1.20921","1.75668","2.8797"
"19","3.07121","2.28741","1.66139","2.28951","3.4097"
"20","2.64651","2.03145","1.54189","2.03242","2.9347"
"21","1.93909","1.50882","1.18211","1.50915","2.1934"
"22","1.31902","1.04775","0.83271","1.04782","1.5667"
"23","1.42160","1.20706","0.92702","1.20724","1.6441"
"24","2.37415","1.97050","1.38606","1.97153","2.5861"
"25","3.83832","3.02532","1.96315","3.02817","4.2891"
"26","5.28914","3.99170","2.40235","3.99657","6.2738"
"27","5.66974","4.04574","2.15898","4.05219","7.3251"
"28","4.13889","2.78817","1.42391","2.79310","5.7808"
"29","2.24720","1.49402","0.76296","1.49643","3.2574"
"30","0.95284","0.64047","0.32697","0.64144","1.3726"
"31","0.19708","0.13420","0.06856","0.13444","0.2824"
"32","0.00618","0.00383","0.00192","0.00384","0.0103"
