"","A","T.A","S","T.M","M"
"1","4.884","4.884","4.884","4.884","4.884"
"2","5.004","4.255","4.241","4.255","5.171"
"3","3.534","2.676","2.656","2.676","3.717"
"4","5.189","3.922","3.885","3.922","5.445"
"5","2.146","1.514","1.495","1.514","2.340"
"6","4.271","3.146","3.115","3.146","4.514"
"7","5.116","3.782","3.742","3.782","5.393"
"8","4.927","3.612","3.560","3.612","5.229"
"9","1.411","0.912","0.897","0.912","1.622"
"10","2.985","2.124","2.088","2.124","3.217"
"11","3.898","2.823","2.785","2.823","4.149"
"12","4.682","3.406","3.361","3.406","4.957"
"13","5.011","3.656","3.611","3.656","5.299"
"14","5.174","3.759","3.711","3.759","5.485"
"15","5.056","3.670","3.616","3.670","5.372"
"16","4.757","3.436","3.373","3.436","5.078"
"17","1.009","0.595","0.581","0.595","1.230"
"18","1.779","1.188","1.166","1.188","1.999"
"19","2.695","1.898","1.860","1.898","2.934"
"20","3.226","2.299","2.256","2.299","3.479"
"21","3.674","2.632","2.590","2.632","3.930"
"22","4.073","2.936","2.893","2.936","4.338"
"23","4.543","3.282","3.234","3.282","4.829"
"24","4.778","3.462","3.413","3.462","5.072"
"25","4.952","3.589","3.538","3.589","5.252"
"26","5.049","3.662","3.610","3.662","5.352"
"27","5.171","3.741","3.685","3.741","5.488"
"28","5.158","3.720","3.663","3.720","5.478"
"29","5.094","3.679","3.620","3.679","5.419"
"30","4.978","3.587","3.525","3.587","5.303"
"31","4.842","3.484","3.416","3.484","5.173"
"32","4.650","3.337","3.269","3.337","4.980"
