"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","0.5519","0.3022","0.1677","0.3023","0.8434"
"3","1.6658","0.9919","0.3688","0.9928","2.4940"
"4","0.1630","0.0876","0.0624","0.0876","0.2887"
"5","2.3167","1.4979","0.2540","1.5011","4.4192"
"6","0.9872","0.5564","0.2457","0.5566","1.4171"
"7","0.3159","0.1491","0.1550","0.1491","0.5319"
"8","0.0836","0.0481","0.0480","0.0481","0.1232"
"9","1.3420","0.7038","0.0950","0.7951","4.3716"
"10","2.0099","1.2841","0.3222","1.3560","3.3745"
"11","1.3097","0.7398","0.3359","0.7247","1.8619"
"12","0.6982","0.3903","0.1508","0.3956","1.0735"
"13","0.6167","0.3703","0.1335","0.1963","0.6700"
"14","0.2634","0.1310","0.1316","0.1218","0.3907"
"15","0.1267","0.0460","0.1212","0.0444","0.2029"
"16","0.0581","0.0353","0.0446","0.0342","0.0417"
"17","0.6398","0.3494","0.0423","0.4004","2.7113"
"18","1.8314","1.0614","0.2180","1.2067","4.7731"
"19","2.2304","1.4250","0.3861","1.5115","3.9593"
"20","1.7080","1.1143","0.2488","1.1735","2.8954"
"21","1.6636","1.0096","0.2693","0.8444","2.1575"
"22","1.1125","0.6404","0.2603","0.6439","1.6195"
"23","0.7984","0.4390","0.2248","0.4453","1.2297"
"24","0.5941","0.3404","0.1290","0.3458","0.9552"
"25","0.4933","0.2354","0.0764","0.2307","0.7525"
"26","0.4632","0.2134","0.1631","0.1980","0.5974"
"27","0.3843","0.1557","0.2100","0.1198","0.4512"
"28","0.2099","0.1023","0.0744","0.1018","0.3399"
"29","0.3599","0.2273","0.0893","0.0503","0.2453"
"30","0.1477","0.0708","0.1141","0.0605","0.1602"
"31","0.0798","0.0220","0.1140","0.0192","0.0763"
"32","0.0506","0.0315","0.0440","0.0300","0.0103"
