"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","0.8621","0.6670","0.3451","0.6677","1.0592"
"3","2.6634","2.2942","1.0326","2.2975","3.1057"
"4","0.2598","0.1907","0.1128","0.1912","0.3465"
"5","4.8492","4.3716","0.6687","4.3865","6.9132"
"6","1.7103","1.3555","0.5643","1.3573","2.1026"
"7","0.6113","0.4397","0.3442","0.4405","0.8395"
"8","0.2078","0.1523","0.0816","0.1529","0.3238"
"9","2.1649","1.7356","0.2704","2.2266","4.7939"
"10","3.7469","3.3115","0.9348","3.5966","4.7569"
"11","2.0596","1.6984","0.8576","1.6811","2.5050"
"12","1.1389","0.9139","0.3537","0.9525","1.4558"
"13","1.5553","1.4539","0.2955","0.5236","0.9564"
"14","0.5265","0.3695","0.2489","0.2891","0.5158"
"15","0.2720","0.1810","0.2638","0.1593","0.3572"
"16","0.0971","0.0675","0.0667","0.0454","0.0621"
"17","1.0591","0.8559","0.1233","1.1170","2.5935"
"18","3.2105","2.6075","0.5140","3.3515","6.4748"
"19","4.4117","3.8965","1.0231","4.4025","6.0908"
"20","3.0228","2.6785","0.8027","2.8595","3.7548"
"21","3.1140","2.8363","0.7879","1.9202","2.7186"
"22","1.8896","1.5136","0.6386","1.5181","2.3313"
"23","1.3659","1.0904","0.5432","1.1285","1.7561"
"24","0.9658","0.7735","0.2962","0.7870","1.2174"
"25","0.7378","0.5605","0.1998","0.5673","0.9836"
"26","0.7307","0.5307","0.3284","0.5090","0.9212"
"27","0.6037","0.4338","0.4141","0.3454","0.6594"
"28","0.3144","0.2272","0.1391","0.2270","0.4035"
"29","1.1106","1.1062","0.1761","0.1533","0.3329"
"30","0.3813","0.2559","0.2100","0.1791","0.3755"
"31","0.1640","0.1005","0.2432","0.0683","0.1646"
"32","0.0773","0.0518","0.0641","0.0255","0.0103"
