"","A","T.A","S","T.M","M"
"1","-2.90e-03","-0.00290","-0.00290","-0.00290","-2.90e-03"
"2","-2.83e-04","-0.00164","-0.00127","-0.00164","-3.62e-03"
"3","-6.70e-03","-0.00624","-0.00532","-0.00624","-1.24e-02"
"4"," 8.08e-05","-0.00524","-0.00469","-0.00524","-6.70e-04"
"5","-2.32e-03","-0.00390","-0.00311","-0.00390"," 1.98e-03"
"6","-4.15e-03","-0.00505","-0.00410","-0.00505","-1.05e-02"
"7","-2.88e-03","-0.00460","-0.00422","-0.00460","-5.14e-03"
"8","-2.22e-03","-0.00491","-0.00467","-0.00491","-3.01e-03"
"9","-4.00e-03","-0.00336","-0.00256","-0.00336"," 9.28e-03"
"10","-2.98e-03","-0.00494","-0.00395","-0.00499","-9.24e-03"
"11","-6.49e-03","-0.00497","-0.00370","-0.00487","-9.80e-03"
"12","-5.02e-03","-0.00396","-0.00336","-0.00396","-8.25e-03"
"13","-4.69e-03","-0.00445","-0.00411","-0.00445","-4.32e-03"
"14","-2.93e-03","-0.00381","-0.00385","-0.00379"," 3.62e-03"
"15","-4.03e-03","-0.00406","-0.00405","-0.00406","-2.88e-03"
"16","-1.59e-03","-0.00392","-0.00401","-0.00392","-2.33e-03"
"17","-6.45e-03","-0.00317","-0.00232","-0.00317"," 6.34e-03"
"18","-2.29e-03","-0.00255","-0.00173","-0.00255"," 6.01e-03"
"19","-5.41e-03","-0.00465","-0.00385","-0.00465","-7.34e-03"
"20","-3.72e-03","-0.00419","-0.00316","-0.00419","-1.00e-02"
"21","-6.26e-03","-0.00437","-0.00313","-0.00430","-8.15e-03"
"22","-3.04e-03","-0.00413","-0.00314","-0.00406","-9.04e-03"
"23","-4.14e-03","-0.00405","-0.00331","-0.00399","-7.03e-03"
"24","-3.36e-03","-0.00400","-0.00334","-0.00400","-4.91e-03"
"25","-3.46e-03","-0.00401","-0.00353","-0.00395","-3.76e-03"
"26","-3.48e-03","-0.00358","-0.00331","-0.00353","-5.74e-03"
"27","-3.63e-03","-0.00380","-0.00370","-0.00378","-2.47e-05"
"28","-2.95e-03","-0.00363","-0.00373","-0.00366"," 1.20e-03"
"29","-4.07e-03","-0.00346","-0.00351","-0.00346","-8.82e-04"
"30","-2.83e-03","-0.00364","-0.00357","-0.00364","-3.72e-03"
"31","-2.48e-03","-0.00372","-0.00383","-0.00370","-4.10e-03"
"32","-7.72e-04","-0.00337","-0.00355","-0.00343","-2.95e-03"
