"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.0000"," 0.00000"," 0.00000"," 0.000000"
"2","-0.34148","-0.3356","-0.14086","-0.33568","-0.310561"
"3","-0.86700","-0.8438","-0.30918","-0.84394","-1.012280"
"4","-0.11720","-0.1135","-0.05373","-0.11350","-0.066280"
"5","-1.10552","-1.0953","-0.22752","-1.09562","-1.659382"
"6","-0.56048","-0.5382","-0.19018","-0.53815","-0.568706"
"7","-0.21946","-0.2110","-0.08637","-0.21106","-0.158620"
"8","-0.05317","-0.0502","-0.02266","-0.05021","-0.021338"
"9","-0.67520","-0.6306","-0.14672","-0.77560","-1.566080"
"10","-0.95531","-0.9170","-0.26417","-1.04544","-1.344718"
"11","-0.63726","-0.6128","-0.21007","-0.67130","-0.753752"
"12","-0.41156","-0.3964","-0.14221","-0.42326","-0.415579"
"13","-0.26669","-0.2598","-0.09819","-0.27245","-0.224080"
"14","-0.15481","-0.1516","-0.05961","-0.15516","-0.101621"
"15","-0.08074","-0.0788","-0.03212","-0.08064","-0.038607"
"16","-0.01809","-0.0177","-0.00731","-0.01801","-0.006238"
"17","-0.46618","-0.4380","-0.09413","-0.54877","-1.230026"
"18","-0.80680","-0.7578","-0.16291","-0.94965","-1.683616"
"19","-0.99078","-0.9537","-0.22440","-1.13027","-1.524673"
"20","-0.85981","-0.8288","-0.24182","-0.94401","-1.169920"
"21","-0.69930","-0.6755","-0.21221","-0.75428","-0.872853"
"22","-0.56626","-0.5463","-0.17650","-0.60112","-0.654646"
"23","-0.45039","-0.4354","-0.14418","-0.47123","-0.474978"
"24","-0.36741","-0.3563","-0.12088","-0.38091","-0.359394"
"25","-0.29516","-0.2877","-0.10035","-0.30460","-0.265754"
"26","-0.23595","-0.2307","-0.08186","-0.24085","-0.190669"
"27","-0.17778","-0.1740","-0.06303","-0.17939","-0.126035"
"28","-0.13433","-0.1316","-0.04853","-0.13385","-0.083322"
"29","-0.09755","-0.0956","-0.03602","-0.09782","-0.055211"
"30","-0.06532","-0.0637","-0.02449","-0.06473","-0.029394"
"31","-0.03157","-0.0305","-0.01242","-0.03089","-0.011471"
"32","-0.00403","-0.0039","-0.00189","-0.00377"," 0.000102"
