"","A","T.A","S","T.M","M"
"1","3.108","3.108","3.108","3.108","3.108"
"2","3.385","3.312","3.311","3.312","3.390"
"3","2.968","2.858","2.854","2.858","2.974"
"4","3.376","3.254","3.252","3.254","3.383"
"5","2.305","2.200","2.195","2.200","2.313"
"6","3.224","3.091","3.086","3.091","3.233"
"7","3.405","3.266","3.262","3.266","3.414"
"8","3.260","3.128","3.125","3.128","3.268"
"9","1.764","1.668","1.662","1.668","1.772"
"10","2.759","2.629","2.622","2.629","2.767"
"11","3.117","2.977","2.970","2.977","3.126"
"12","3.342","3.195","3.188","3.195","3.351"
"13","3.402","3.254","3.248","3.254","3.411"
"14","3.409","3.261","3.256","3.261","3.419"
"15","3.323","3.179","3.175","3.179","3.332"
"16","3.190","3.051","3.047","3.051","3.199"
"17","1.316","1.238","1.234","1.238","1.323"
"18","2.066","1.957","1.949","1.957","2.075"
"19","2.624","2.494","2.486","2.494","2.633"
"20","2.869","2.730","2.722","2.730","2.879"
"21","3.042","2.898","2.891","2.898","3.052"
"22","3.172","3.026","3.018","3.026","3.182"
"23","3.313","3.161","3.154","3.161","3.323"
"24","3.363","3.209","3.202","3.209","3.372"
"25","3.392","3.239","3.232","3.239","3.402"
"26","3.405","3.251","3.245","3.251","3.415"
"27","3.421","3.267","3.261","3.267","3.431"
"28","3.391","3.239","3.234","3.239","3.401"
"29","3.351","3.201","3.196","3.201","3.361"
"30","3.290","3.143","3.138","3.143","3.300"
"31","3.229","3.084","3.079","3.084","3.239"
"32","3.146","3.005","3.000","3.005","3.156"
