"","A","T.A","S","T.M","M"
"1"," 8.935"," 8.935"," 8.935"," 8.935"," 8.935"
"2","11.031","10.850","10.847","10.850","11.042"
"3"," 9.138"," 8.816"," 8.801"," 8.816"," 9.157"
"4","10.535","10.235","10.227","10.235","10.550"
"5"," 5.880"," 5.582"," 5.558"," 5.582"," 5.907"
"6","10.375"," 9.993"," 9.971"," 9.993","10.396"
"7","10.899","10.532","10.520","10.532","10.919"
"8"," 9.784"," 9.459"," 9.448"," 9.459"," 9.803"
"9"," 3.644"," 3.392"," 3.372"," 3.392"," 3.674"
"10"," 8.108"," 7.719"," 7.681"," 7.719"," 8.139"
"11"," 9.865"," 9.447"," 9.417"," 9.447"," 9.892"
"12","10.942","10.529","10.505","10.529","10.967"
"13","11.009","10.606","10.588","10.606","11.033"
"14","10.819","10.433","10.418","10.433","10.840"
"15","10.196"," 9.835"," 9.820"," 9.835","10.217"
"16"," 9.374"," 9.035"," 9.020"," 9.035"," 9.395"
"17"," 2.167"," 1.983"," 1.971"," 1.983"," 2.195"
"18"," 4.850"," 4.548"," 4.519"," 4.548"," 4.882"
"19"," 7.454"," 7.064"," 7.019"," 7.064"," 7.488"
"20"," 8.640"," 8.218"," 8.176"," 8.218"," 8.672"
"21"," 9.527"," 9.095"," 9.056"," 9.095"," 9.558"
"22","10.172"," 9.738"," 9.706"," 9.738","10.201"
"23","10.863","10.428","10.401","10.428","10.889"
"24","11.000","10.576","10.551","10.576","11.026"
"25","11.023","10.603","10.582","10.603","11.048"
"26","10.963","10.552","10.534","10.552","10.988"
"27","10.931","10.523","10.506","10.523","10.954"
"28","10.677","10.277","10.259","10.277","10.699"
"29","10.378"," 9.993"," 9.975"," 9.993","10.400"
"30"," 9.986"," 9.618"," 9.602"," 9.618","10.008"
"31"," 9.607"," 9.250"," 9.233"," 9.250"," 9.629"
"32"," 9.146"," 8.797"," 8.780"," 8.797"," 9.166"
