"","A","T.A","S","T.M","M"
"1","2.424","2.424","2.424","2.424","2.4241"
"2","1.570","1.116","1.063","1.116","1.7095"
"3","0.766","0.560","0.546","0.560","0.7463"
"4","2.048","1.287","1.182","1.287","2.3683"
"5","0.345","0.289","0.290","0.289","0.2702"
"6","1.147","0.760","0.722","0.760","1.2174"
"7","1.814","1.136","1.044","1.136","2.0795"
"8","2.099","1.299","1.171","1.299","2.4766"
"9","0.181","0.171","0.177","0.171","0.1070"
"10","0.567","0.423","0.415","0.423","0.5180"
"11","0.952","0.646","0.617","0.646","0.9779"
"12","1.366","0.878","0.822","0.878","1.5017"
"13","1.677","1.052","0.969","1.052","1.9063"
"14","1.944","1.205","1.095","1.205","2.2622"
"15","2.069","1.276","1.148","1.276","2.4408"
"16","2.086","1.285","1.149","1.285","2.4799"
"17","0.103","0.105","0.109","0.105","0.0405"
"18","0.261","0.227","0.229","0.227","0.1790"
"19","0.473","0.366","0.362","0.366","0.4106"
"20","0.661","0.480","0.466","0.480","0.6278"
"21","0.855","0.590","0.565","0.590","0.8632"
"22","1.042","0.697","0.660","0.697","1.0945"
"23","1.277","0.828","0.775","0.828","1.3915"
"24","1.442","0.921","0.856","0.921","1.6067"
"25","1.596","1.006","0.927","1.006","1.8080"
"26","1.737","1.087","0.994","1.087","1.9969"
"27","1.889","1.174","1.066","1.174","2.1977"
"28","1.975","1.223","1.103","1.223","2.3189"
"29","2.041","1.260","1.131","1.260","2.4116"
"30","2.074","1.281","1.144","1.281","2.4645"
"31","2.090","1.289","1.147","1.289","2.4926"
"32","2.055","1.269","1.127","1.269","2.4549"
