"","A","T.A","S","T.M","M"
"1","0.00000","0.000000","0.00e+00","0.000000","0.0000"
"2","0.77926","0.325568","2.92e-01","0.325584","1.2078"
"3","1.23365","0.333940","1.50e-01","0.335292","2.4658"
"4","0.10567","0.023761","1.08e-02","0.023807","0.3046"
"5","0.22102","0.098176","1.32e-02","0.099712","0.9548"
"6","0.81432","0.297611","3.93e-02","0.299059","2.3149"
"7","0.21061","0.061741","1.10e-02","0.061914","0.6226"
"8","0.02251","0.006597","9.41e-04","0.006641","0.1234"
"9","0.15859","0.061376","8.13e-03","0.062080","0.9301"
"10","0.43981","0.211941","2.16e-02","0.217403","1.5555"
"11","0.84219","0.349859","3.61e-02","0.353597","2.7307"
"12","0.57014","0.208539","2.63e-02","0.209353","1.6647"
"13","0.29625","0.094507","1.41e-02","0.094734","0.8697"
"14","0.12194","0.035996","6.36e-03","0.036100","0.4310"
"15","0.04293","0.012705","1.91e-03","0.012814","0.2052"
"16","0.00558","0.001745","1.32e-04","0.001766","0.0415"
"17","0.12381","0.045632","5.09e-03","0.046176","0.9439"
"18","0.16492","0.075200","8.52e-03","0.077259","0.9232"
"19","0.29844","0.154163","1.38e-02","0.159334","1.1970"
"20","0.56558","0.271671","2.32e-02","0.279314","2.0353"
"21","0.77301","0.342969","3.03e-02","0.348871","2.7152"
"22","0.77075","0.326714","3.12e-02","0.329519","2.5666"
"23","0.63594","0.249428","2.61e-02","0.250868","1.9666"
"24","0.47175","0.176559","2.12e-02","0.177193","1.4213"
"25","0.34025","0.117809","1.43e-02","0.118007","1.0247"
"26","0.23382","0.076682","1.05e-02","0.076967","0.7380"
"27","0.14707","0.046117","7.29e-03","0.046312","0.5115"
"28","0.09347","0.029023","4.55e-03","0.029162","0.3629"
"29","0.05550","0.016758","2.76e-03","0.016886","0.2507"
"30","0.02961","0.009235","1.18e-03","0.009297","0.1628"
"31","0.01018","0.003295","3.43e-04","0.003349","0.0750"
"32","0.00109","0.000374","2.37e-05","0.000383","0.0103"
