"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","0.5533","0.3400","0.1680","0.3466","0.8434"
"3","1.6718","1.1171","0.3697","1.1561","2.4940"
"4","0.1622","0.0942","0.0625","0.0982","0.2887"
"5","2.3318","1.6970","0.2565","1.8450","4.4192"
"6","0.9896","0.6304","0.2468","0.6440","1.4171"
"7","0.3166","0.1701","0.1528","0.1754","0.5319"
"8","0.0824","0.0481","0.0477","0.0498","0.1232"
"9","1.3795","0.8591","0.0993","1.0431","4.3716"
"10","2.0366","1.4483","0.3274","1.5813","3.3745"
"11","1.3107","0.8365","0.3360","0.8450","1.8619"
"12","0.7052","0.4457","0.1546","0.4585","1.0735"
"13","0.5814","0.3789","0.1300","0.2322","0.6700"
"14","0.2540","0.1396","0.1282","0.1373","0.3907"
"15","0.1245","0.0514","0.1177","0.0533","0.2029"
"16","0.0564","0.0324","0.0444","0.0322","0.0417"
"17","0.6796","0.4312","0.0478","0.5245","2.7113"
"18","1.9135","1.2984","0.2267","1.5736","4.7731"
"19","2.2811","1.6184","0.3886","1.7864","3.9593"
"20","1.7636","1.2679","0.2693","1.3651","2.8954"
"21","1.6091","1.0924","0.2710","0.9846","2.1575"
"22","1.1181","0.7263","0.2633","0.7470","1.6195"
"23","0.8149","0.5065","0.2310","0.5215","1.2297"
"24","0.6085","0.3881","0.1370","0.3992","0.9552"
"25","0.4670","0.2665","0.0761","0.2735","0.7525"
"26","0.4193","0.2236","0.1480","0.2255","0.5974"
"27","0.3537","0.1648","0.1941","0.1413","0.4512"
"28","0.2009","0.1110","0.0703","0.1153","0.3399"
"29","0.3161","0.2122","0.0822","0.0620","0.2453"
"30","0.1357","0.0680","0.1088","0.0629","0.1602"
"31","0.0762","0.0224","0.1099","0.0216","0.0763"
"32","0.0484","0.0276","0.0436","0.0266","0.0103"
"33","0.5998","0.3830","0.0415","0.4662","2.4983"
"34","1.3121","0.8285","0.1741","0.9973","4.4320"
"35","1.9630","1.2494","0.2988","1.4835","5.0612"
"36","2.1584","1.6095","0.2194","1.9655","4.7965"
"37","2.4088","1.7481","0.2820","1.8411","4.2311"
"38","2.0955","1.5188","0.3293","1.6810","3.6431"
"39","1.8482","1.3251","0.3254","1.4427","3.1176"
"40","1.6421","1.1802","0.2506","1.2657","2.6911"
"41","1.4736","0.9991","0.2069","1.0547","2.3080"
"42","1.3618","0.8897","0.2864","0.9260","1.9900"
"43","1.2285","0.7697","0.3251","0.7715","1.7195"
"44","1.0061","0.6615","0.1975","0.6842","1.5023"
"45","1.0434","0.7000","0.2005","0.5646","1.3176"
"46","0.7896","0.4996","0.2166","0.5072","1.1616"
"47","0.6636","0.4039","0.2071","0.4150","1.0240"
"48","0.5737","0.3663","0.1317","0.3767","0.9072"
"49","0.4481","0.2826","0.0761","0.2924","0.7921"
"50","0.4614","0.2695","0.1542","0.2736","0.7019"
"51","0.4894","0.2393","0.2229","0.2159","0.6246"
"52","0.3345","0.1971","0.0988","0.2030","0.5556"
"53","0.5108","0.3065","0.1179","0.1536","0.4925"
"54","0.2947","0.1550","0.1397","0.1525","0.4281"
"55","0.2193","0.1057","0.1338","0.1092","0.3700"
"56","0.1771","0.1032","0.0630","0.1082","0.3201"
"57","0.1485","0.0609","0.0185","0.0642","0.2603"
"58","0.1929","0.0812","0.1070","0.0792","0.2173"
"59","0.2057","0.0723","0.1680","0.0460","0.1750"
"60","0.1027","0.0517","0.0548","0.0529","0.1358"
"61","0.2545","0.1746","0.0725","0.0216","0.1007"
"62","0.1022","0.0476","0.1039","0.0405","0.0643"
"63","0.0634","0.0143","0.1086","0.0124","0.0308"
"64","0.0460","0.0261","0.0435","0.0247","0.0000"
