"","A","T.A","S","T.M","M"
"1","-3.8848","-3.885","-3.885","-3.885","-3.8848"
"2","-3.3295","-3.263","-3.252","-3.263","-3.3363"
"3","-1.7868","-1.759","-1.757","-1.759","-1.7870"
"4","-3.9841","-3.846","-3.824","-3.846","-3.9959"
"5","-0.6826","-0.696","-0.701","-0.696","-0.6783"
"6","-2.6263","-2.549","-2.539","-2.549","-2.6310"
"7","-3.7310","-3.598","-3.576","-3.598","-3.7414"
"8","-4.0099","-3.862","-3.834","-3.862","-4.0228"
"9","-0.2761","-0.301","-0.305","-0.301","-0.2712"
"10","-1.2919","-1.284","-1.285","-1.284","-1.2894"
"11","-2.2371","-2.179","-2.172","-2.179","-2.2396"
"12","-3.0522","-2.949","-2.935","-2.949","-3.0595"
"13","-3.5543","-3.426","-3.405","-3.426","-3.5641"
"14","-3.9106","-3.764","-3.738","-3.764","-3.9225"
"15","-4.0187","-3.867","-3.837","-3.867","-4.0320"
"16","-3.9675","-3.817","-3.786","-3.817","-3.9814"
"17","-0.1266","-0.151","-0.153","-0.151","-0.1223"
"18","-0.4604","-0.482","-0.486","-0.482","-0.4553"
"19","-1.0411","-1.043","-1.045","-1.043","-1.0373"
"20","-1.5369","-1.517","-1.516","-1.517","-1.5357"
"21","-2.0177","-1.972","-1.967","-1.972","-2.0192"
"22","-2.4380","-2.368","-2.359","-2.368","-2.4417"
"23","-2.8971","-2.802","-2.789","-2.802","-2.9038"
"24","-3.1972","-3.086","-3.069","-3.086","-3.2053"
"25","-3.4466","-3.323","-3.303","-3.323","-3.4558"
"26","-3.6457","-3.511","-3.488","-3.511","-3.6561"
"27","-3.8562","-3.712","-3.686","-3.712","-3.8679"
"28","-3.9518","-3.802","-3.774","-3.802","-3.9643"
"29","-4.0084","-3.857","-3.827","-3.857","-4.0217"
"30","-4.0196","-3.867","-3.836","-3.867","-4.0330"
"31","-4.0015","-3.849","-3.817","-3.849","-4.0157"
"32","-3.9231","-3.773","-3.742","-3.773","-3.9369"
"33","-0.0954","-0.121","-0.123","-0.121","-0.0912"
"34","-0.2304","-0.256","-0.260","-0.256","-0.2252"
"35","-0.4089","-0.433","-0.437","-0.433","-0.4033"
"36","-0.6189","-0.636","-0.640","-0.636","-0.6142"
"37","-0.8594","-0.866","-0.869","-0.866","-0.8550"
"38","-1.1096","-1.108","-1.110","-1.108","-1.1061"
"39","-1.3548","-1.342","-1.342","-1.342","-1.3528"
"40","-1.6032","-1.579","-1.577","-1.579","-1.6022"
"41","-1.9623","-1.920","-1.915","-1.920","-1.9637"
"42","-2.1815","-2.128","-2.121","-2.128","-2.1840"
"43","-2.3907","-2.323","-2.315","-2.323","-2.3943"
"44","-2.5833","-2.505","-2.494","-2.505","-2.5882"
"45","-2.7655","-2.678","-2.665","-2.678","-2.7719"
"46","-2.9300","-2.833","-2.819","-2.833","-2.9372"
"47","-3.0835","-2.978","-2.962","-2.978","-3.0914"
"48","-3.2259","-3.113","-3.095","-3.113","-3.2346"
"49","-3.4256","-3.304","-3.283","-3.304","-3.4351"
"50","-3.5333","-3.405","-3.383","-3.405","-3.5436"
"51","-3.6328","-3.500","-3.476","-3.500","-3.6435"
"52","-3.7201","-3.583","-3.558","-3.583","-3.7312"
"53","-3.7971","-3.656","-3.630","-3.656","-3.8092"
"54","-3.8603","-3.716","-3.688","-3.716","-3.8726"
"55","-3.9121","-3.765","-3.736","-3.765","-3.9249"
"56","-3.9489","-3.800","-3.770","-3.800","-3.9619"
"57","-4.0130","-3.862","-3.831","-3.862","-4.0268"
"58","-4.0292","-3.877","-3.845","-3.877","-4.0430"
"59","-4.0326","-3.880","-3.848","-3.880","-4.0466"
"60","-4.0257","-3.873","-3.840","-3.873","-4.0397"
"61","-4.0074","-3.855","-3.822","-3.855","-4.0218"
"62","-3.9790","-3.827","-3.795","-3.827","-3.9934"
"63","-3.9436","-3.793","-3.761","-3.793","-3.9579"
"64","-3.8959","-3.747","-3.715","-3.747","-3.9102"
