"","A","T.A","S","T.M","M"
"1"," 8.935"," 8.935"," 8.935"," 8.935"," 8.935"
"2","11.031","10.854","10.847","10.854","11.042"
"3"," 9.139"," 8.825"," 8.805"," 8.825"," 9.157"
"4","10.536","10.241","10.230","10.241","10.550"
"5"," 5.881"," 5.596"," 5.564"," 5.596"," 5.907"
"6","10.375","10.010"," 9.979","10.010","10.396"
"7","10.899","10.545","10.526","10.545","10.919"
"8"," 9.784"," 9.469"," 9.454"," 9.469"," 9.803"
"9"," 3.645"," 3.406"," 3.381"," 3.406"," 3.674"
"10"," 8.110"," 7.742"," 7.695"," 7.742"," 8.139"
"11"," 9.866"," 9.475"," 9.432"," 9.475"," 9.892"
"12","10.943","10.552","10.521","10.552","10.967"
"13","11.010","10.628","10.603","10.628","11.033"
"14","10.819","10.452","10.431","10.452","10.840"
"15","10.197"," 9.851"," 9.832"," 9.851","10.217"
"16"," 9.375"," 9.051"," 9.032"," 9.051"," 9.395"
"17"," 2.168"," 1.995"," 1.979"," 1.995"," 2.195"
"18"," 4.852"," 4.572"," 4.535"," 4.572"," 4.882"
"19"," 7.457"," 7.095"," 7.043"," 7.095"," 7.488"
"20"," 8.642"," 8.250"," 8.201"," 8.250"," 8.672"
"21"," 9.529"," 9.132"," 9.082"," 9.132"," 9.558"
"22","10.174"," 9.774"," 9.732"," 9.774","10.201"
"23","10.865","10.461","10.427","10.461","10.889"
"24","11.002","10.607","10.577","10.607","11.026"
"25","11.025","10.633","10.606","10.633","11.048"
"26","10.965","10.580","10.557","10.580","10.988"
"27","10.932","10.549","10.527","10.549","10.954"
"28","10.678","10.301","10.280","10.301","10.699"
"29","10.379","10.016"," 9.995","10.016","10.400"
"30"," 9.987"," 9.640"," 9.621"," 9.640","10.008"
"31"," 9.608"," 9.273"," 9.254"," 9.273"," 9.629"
"32"," 9.146"," 8.818"," 8.799"," 8.818"," 9.166"
"33"," 2.111"," 1.921"," 1.905"," 1.921"," 2.143"
"34"," 3.536"," 3.286"," 3.258"," 3.286"," 3.570"
"35"," 4.766"," 4.474"," 4.437"," 4.474"," 4.800"
"36"," 5.833"," 5.516"," 5.470"," 5.516"," 5.865"
"37"," 6.694"," 6.354"," 6.305"," 6.354"," 6.726"
"38"," 7.460"," 7.099"," 7.047"," 7.099"," 7.490"
"39"," 8.085"," 7.710"," 7.660"," 7.710"," 8.115"
"40"," 8.615"," 8.225"," 8.176"," 8.225"," 8.644"
"41"," 9.591"," 9.183"," 9.131"," 9.183"," 9.622"
"42"," 9.930"," 9.522"," 9.472"," 9.522"," 9.959"
"43","10.235"," 9.824"," 9.779"," 9.824","10.261"
"44","10.461","10.056","10.016","10.056","10.488"
"45","10.626","10.226","10.190","10.226","10.651"
"46","10.746","10.348","10.314","10.348","10.770"
"47","10.834","10.440","10.409","10.440","10.858"
"48","10.890","10.496","10.467","10.496","10.914"
"49","11.136","10.734","10.706","10.734","11.161"
"50","11.128","10.732","10.705","10.732","11.151"
"51","11.077","10.683","10.658","10.683","11.101"
"52","11.013","10.622","10.599","10.622","11.037"
"53","10.928","10.539","10.517","10.539","10.951"
"54","10.816","10.434","10.413","10.434","10.838"
"55","10.687","10.310","10.288","10.310","10.709"
"56","10.549","10.175","10.154","10.175","10.570"
"57","10.499","10.127","10.105","10.127","10.521"
"58","10.324"," 9.960"," 9.939"," 9.960","10.346"
"59","10.123"," 9.770"," 9.750"," 9.770","10.145"
"60"," 9.908"," 9.561"," 9.542"," 9.561"," 9.929"
"61"," 9.703"," 9.364"," 9.345"," 9.364"," 9.724"
"62"," 9.472"," 9.135"," 9.116"," 9.135"," 9.493"
"63"," 9.240"," 8.908"," 8.889"," 8.908"," 9.261"
"64"," 9.016"," 8.689"," 8.670"," 8.689"," 9.036"
