"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.0000","0.00000"," 0.00000"
"2","0.45809","0.52569","0.5775","0.52569"," 0.41004"
"3","0.74784","0.59994","0.5587","0.60008"," 0.80192"
"4","0.13115","0.38901","0.4968","0.38911","-0.21119"
"5","0.83224","0.65625","0.5441","0.65653"," 0.84734"
"6","0.43869","0.37265","0.3638","0.37270"," 0.58768"
"7","0.52552","0.56552","0.6739","0.56559"," 0.03800"
"8","0.12264","0.14714","0.1851","0.14715","-0.08125"
"9","0.68464","0.51864","0.3978","0.51912"," 0.68568"
"10","0.83963","0.66578","0.5319","0.66619"," 0.89586"
"11","0.54855","0.44730","0.3918","0.44745"," 0.66427"
"12","0.44875","0.40539","0.4112","0.40542"," 0.53586"
"13","0.56477","0.55043","0.5940","0.55064"," 0.24680"
"14","0.44415","0.47203","0.5457","0.47220","-0.18354"
"15","0.23094","0.25056","0.2897","0.25060","-0.15004"
"16","0.03611","0.04148","0.0517","0.04146","-0.01787"
"17","0.51217","0.38489","0.2848","0.38518"," 0.50063"
"18","0.78567","0.60284","0.4534","0.60339"," 0.79135"
"19","0.87203","0.68189","0.5274","0.68234"," 0.91144"
"20","0.78925","0.62834","0.5019","0.62860"," 0.86080"
"21","0.63568","0.51081","0.4291","0.51093"," 0.73569"
"22","0.47849","0.39495","0.3527","0.39502"," 0.61456"
"23","0.43189","0.37874","0.3678","0.37872"," 0.56896"
"24","0.48127","0.44186","0.4531","0.44173"," 0.48089"
"25","0.55022","0.51968","0.5463","0.51937"," 0.33271"
"26","0.58210","0.56510","0.6100","0.56467"," 0.14872"
"27","0.51034","0.51708","0.5833","0.51636","-0.10942"
"28","0.40892","0.42161","0.4762","0.42091","-0.21453"
"29","0.29764","0.30791","0.3471","0.30737","-0.18394"
"30","0.18503","0.19589","0.2244","0.19552","-0.11398"
"31","0.07551","0.08269","0.0980","0.08253","-0.04334"
"32","0.00687","0.00764","0.0103","0.00761","-0.00258"
"33","0.49104","0.36736","0.2715","0.36768"," 0.46976"
"34","0.67241","0.50594","0.3780","0.50631"," 0.66677"
"35","0.77944","0.59898","0.4478","0.59948"," 0.78566"
"36","0.83981","0.65512","0.4901","0.65572"," 0.85257"
"37","0.86080","0.67360","0.5115","0.67413"," 0.89024"
"38","0.84930","0.66714","0.5178","0.66757"," 0.89503"
"39","0.81275","0.64523","0.5072","0.64554"," 0.87425"
"40","0.75555","0.60241","0.4823","0.60266"," 0.83185"
"41","0.67118","0.53921","0.4462","0.53940"," 0.76909"
"42","0.58143","0.47098","0.4015","0.47116"," 0.69434"
"43","0.50047","0.41266","0.3640","0.41273"," 0.63301"
"44","0.44906","0.37599","0.3422","0.37616"," 0.59919"
"45","0.42451","0.36659","0.3472","0.36672"," 0.57594"
"46","0.43164","0.38238","0.3747","0.38231"," 0.55496"
"47","0.45720","0.41400","0.4171","0.41388"," 0.51787"
"48","0.49042","0.45266","0.4648","0.45243"," 0.45625"
"49","0.54223","0.50962","0.5321","0.50917"," 0.35974"
"50","0.57149","0.54304","0.5732","0.54252"," 0.27748"
"51","0.58597","0.56485","0.6041","0.56427"," 0.18342"
"52","0.57920","0.56585","0.6153","0.56509"," 0.07784"
"53","0.54481","0.54234","0.6013","0.54144","-0.03811"
"54","0.49522","0.50107","0.5642","0.50002","-0.13805"
"55","0.44476","0.45353","0.5116","0.45246","-0.19689"
"56","0.39356","0.40270","0.4514","0.40177","-0.21695"
"57","0.32110","0.32848","0.3680","0.32770","-0.19550"
"58","0.26186","0.27018","0.3045","0.26953","-0.16178"
"59","0.20511","0.21428","0.2434","0.21376","-0.12601"
"60","0.15244","0.16157","0.1856","0.16118","-0.09260"
"61","0.10448","0.11291","0.1313","0.11264","-0.06180"
"62","0.06307","0.06830","0.0814","0.06809","-0.03350"
"63","0.02567","0.02870","0.0358","0.02858","-0.01211"
"64","0.00000","0.00000","0.0000","0.00000"," 0.00000"
