"","A","T.A","S","T.M","M"
"1","2.4241","2.4241","2.424","2.4241","2.4241"
"2","1.5713","1.1182","1.066","1.1182","1.7095"
"3","0.7669","0.5618","0.547","0.5618","0.7463"
"4","2.0528","1.2924","1.187","1.2924","2.3683"
"5","0.3440","0.2898","0.291","0.2898","0.2702"
"6","1.1491","0.7646","0.726","0.7646","1.2174"
"7","1.8187","1.1430","1.052","1.1430","2.0795"
"8","2.1056","1.3074","1.179","1.3074","2.4766"
"9","0.1786","0.1721","0.177","0.1721","0.1070"
"10","0.5669","0.4255","0.417","0.4255","0.5180"
"11","0.9534","0.6502","0.622","0.6502","0.9779"
"12","1.3702","0.8850","0.830","0.8850","1.5017"
"13","1.6821","1.0608","0.978","1.0608","1.9063"
"14","1.9512","1.2152","1.106","1.2152","2.2622"
"15","2.0768","1.2866","1.160","1.2866","2.4408"
"16","2.0944","1.2957","1.160","1.2957","2.4799"
"17","0.0993","0.1058","0.110","0.1058","0.0405"
"18","0.2589","0.2286","0.231","0.2286","0.1790"
"19","0.4725","0.3696","0.366","0.3696","0.4106"
"20","0.6611","0.4836","0.471","0.4836","0.6278"
"21","0.8569","0.5954","0.572","0.5954","0.8632"
"22","1.0462","0.7029","0.668","0.7029","1.0945"
"23","1.2824","0.8355","0.785","0.8355","1.3915"
"24","1.4487","0.9305","0.868","0.9305","1.6067"
"25","1.6039","1.0170","0.940","1.0170","1.8080"
"26","1.7468","1.0989","1.008","1.0989","1.9969"
"27","1.8999","1.1867","1.081","1.1867","2.1977"
"28","1.9867","1.2359","1.120","1.2359","2.3189"
"29","2.0529","1.2733","1.148","1.2733","2.4116"
"30","2.0869","1.2936","1.162","1.2936","2.4645"
"31","2.1033","1.3022","1.165","1.3022","2.4926"
"32","2.0681","1.2820","1.145","1.2820","2.4549"
"33","0.0870","0.0966","0.101","0.0966","0.0296"
"34","0.1596","0.1541","0.158","0.1541","0.0867"
"35","0.2389","0.2144","0.218","0.2144","0.1578"
"36","0.3245","0.2747","0.274","0.2747","0.2420"
"37","0.4059","0.3266","0.324","0.3266","0.3378"
"38","0.4942","0.3810","0.376","0.3810","0.4392"
"39","0.5902","0.4386","0.429","0.4386","0.5484"
"40","0.6874","0.4975","0.482","0.4975","0.6613"
"41","0.8315","0.5816","0.558","0.5816","0.8321"
"42","0.9301","0.6375","0.609","0.6375","0.9496"
"43","1.0230","0.6896","0.656","0.6896","1.0647"
"44","1.1191","0.7438","0.704","0.7438","1.1850"
"45","1.2115","0.7948","0.749","0.7948","1.3036"
"46","1.3008","0.8439","0.791","0.8439","1.4187"
"47","1.3857","0.8924","0.833","0.8924","1.5281"
"48","1.4676","0.9395","0.874","0.9395","1.6343"
"49","1.5864","1.0066","0.930","1.0066","1.7846"
"50","1.6620","1.0494","0.966","1.0494","1.8857"
"51","1.7297","1.0887","0.999","1.0887","1.9749"
"52","1.7924","1.1241","1.028","1.1241","2.0600"
"53","1.8532","1.1578","1.055","1.1578","2.1394"
"54","1.9073","1.1894","1.081","1.1894","2.2119"
"55","1.9509","1.2141","1.100","1.2141","2.2738"
"56","1.9906","1.2368","1.118","1.2368","2.3287"
"57","2.0490","1.2717","1.146","1.2717","2.4084"
"58","2.0706","1.2833","1.153","1.2833","2.4401"
"59","2.0870","1.2930","1.160","1.2930","2.4651"
"60","2.0969","1.2983","1.163","1.2983","2.4828"
"61","2.0969","1.2987","1.160","1.2987","2.4852"
"62","2.0909","1.2941","1.155","1.2941","2.4822"
"63","2.0738","1.2837","1.145","1.2837","2.4646"
"64","2.0514","1.2720","1.134","1.2720","2.4387"
