"","A","T.A","S","T.M","M"
"1","0.0000","0.00000","0.00000","0.00000","0.0000"
"2","3.3827","2.75312","2.68987","2.75312","3.6276"
"3","3.9745","2.65338","2.36083","2.65338","4.3627"
"4","0.7746","0.40641","0.36966","0.40641","0.9781"
"5","2.9661","1.55923","1.18061","1.55923","3.5473"
"6","4.0320","2.62981","2.08276","2.62981","4.4937"
"7","1.9316","1.07014","0.88952","1.07014","2.2943"
"8","0.0907","0.04389","0.03570","0.04389","0.1405"
"9","1.6685","0.82170","0.57146","0.82170","2.3365"
"10","3.5433","2.07836","1.50940","2.07836","4.1170"
"11","4.1552","2.73165","2.02831","2.73165","4.7012"
"12","3.6548","2.31411","1.78659","2.31411","4.1576"
"13","2.5643","1.48309","1.16878","1.48309","3.0063"
"14","1.2649","0.65411","0.52922","0.65411","1.5909"
"15","0.2656","0.12573","0.10089","0.12573","0.3963"
"16","0.0131","0.00629","0.00431","0.00629","0.0213"
"17","1.5222","0.74291","0.49971","0.74291","2.2810"
"18","2.8202","1.45225","1.00316","1.45225","3.6086"
"19","3.5827","2.03377","1.43995","2.03377","4.2378"
"20","3.8969","2.42668","1.72733","2.42668","4.4914"
"21","4.0050","2.58893","1.88126","2.58893","4.5617"
"22","3.9766","2.60553","1.90645","2.60553","4.5066"
"23","3.7717","2.42816","1.81307","2.42816","4.2806"
"24","3.4111","2.13815","1.62607","2.13815","3.9102"
"25","2.8129","1.65928","1.27792","1.65928","3.2906"
"26","2.1497","1.19987","0.93970","1.19987","2.5756"
"27","1.4842","0.78300","0.62081","0.78300","1.8485"
"28","0.8995","0.44797","0.35857","0.44797","1.1882"
"29","0.4583","0.22111","0.17670","0.22111","0.6520"
"30","0.1875","0.08880","0.06952","0.08880","0.2895"
"31","0.0533","0.02576","0.01887","0.02576","0.0867"
"32","0.0000","0.00000","0.00000","0.00000","0.0000"
