"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.0000"," 0.00000"," 0.0000"," 0.00000"
"2","-0.30918","-0.1652","-0.12982","-0.1652","-0.41088"
"3","-0.55714","-0.2862","-0.20455","-0.2862","-0.94758"
"4","-0.11403","-0.0569","-0.04620","-0.0569","-0.09697"
"5","-0.47248","-0.2140","-0.06432","-0.2140","-1.09328"
"6","-0.40218","-0.2096","-0.07912","-0.2096","-0.64368"
"7","-0.19389","-0.0970","-0.04243","-0.0970","-0.22668"
"8","-0.03583","-0.0175","-0.00871","-0.0175","-0.01684"
"9","-0.31503","-0.1514","-0.04192","-0.1514","-0.89299"
"10","-0.51482","-0.2594","-0.07215","-0.2594","-1.06589"
"11","-0.44110","-0.2467","-0.08055","-0.2467","-0.78166"
"12","-0.32580","-0.1755","-0.06410","-0.1755","-0.52007"
"13","-0.22665","-0.1190","-0.04718","-0.1190","-0.31064"
"14","-0.14259","-0.0749","-0.03135","-0.0749","-0.15531"
"15","-0.06102","-0.0318","-0.01445","-0.0318","-0.04173"
"16","-0.00776","-0.0040","-0.00180","-0.0040","-0.00181"
"17","-0.29360","-0.1426","-0.03840","-0.1426","-0.86864"
"18","-0.42262","-0.2058","-0.05543","-0.2058","-1.11489"
"19","-0.51068","-0.2536","-0.06848","-0.2536","-1.13006"
"20","-0.51712","-0.2878","-0.07844","-0.2878","-1.01428"
"21","-0.46901","-0.2658","-0.08117","-0.2658","-0.86656"
"22","-0.41247","-0.2304","-0.07535","-0.2304","-0.72242"
"23","-0.35519","-0.1945","-0.06723","-0.1945","-0.59482"
"24","-0.30224","-0.1637","-0.05912","-0.1637","-0.47880"
"25","-0.24366","-0.1292","-0.04905","-0.1292","-0.34719"
"26","-0.19664","-0.1044","-0.04159","-0.1044","-0.25478"
"27","-0.15645","-0.0826","-0.03345","-0.0826","-0.18037"
"28","-0.11630","-0.0609","-0.02562","-0.0609","-0.11757"
"29","-0.08218","-0.0430","-0.01862","-0.0430","-0.06864"
"30","-0.05155","-0.0269","-0.01216","-0.0269","-0.03319"
"31","-0.02502","-0.0130","-0.00579","-0.0130","-0.00948"
"32"," 0.00000"," 0.0000"," 0.00000"," 0.0000"," 0.00000"
