"","A","T.A","S","T.M","M"
"1","7.071","7.071","7.071","7.071","7.071"
"2","5.000","5.000","5.000","5.000","5.000"
"3","3.394","3.394","3.394","3.394","3.394"
"4","6.042","6.042","6.042","6.042","6.042"
"5","2.400","2.400","2.400","2.400","2.400"
"6","4.388","4.388","4.388","4.388","4.388"
"7","5.545","5.545","5.545","5.545","5.545"
"8","6.652","6.652","6.652","6.652","6.652"
"9","1.697","1.697","1.697","1.697","1.697"
"10","2.939","2.939","2.939","2.939","2.939"
"11","4.048","4.048","4.048","4.048","4.048"
"12","4.704","4.704","4.704","4.704","4.704"
"13","5.280","5.280","5.280","5.280","5.280"
"14","5.799","5.799","5.799","5.799","5.799"
"15","6.433","6.433","6.433","6.433","6.433"
"16","6.865","6.865","6.865","6.865","6.865"
"17","1.600","1.600","1.600","1.600","1.600"
"18","2.309","2.309","2.309","2.309","2.309"
"19","2.862","2.862","2.862","2.862","2.862"
"20","3.326","3.326","3.326","3.326","3.326"
"21","3.733","3.733","3.733","3.733","3.733"
"22","4.101","4.101","4.101","4.101","4.101"
"23","4.438","4.438","4.438","4.438","4.438"
"24","4.751","4.751","4.751","4.751","4.751"
"25","5.239","5.239","5.239","5.239","5.239"
"26","5.506","5.506","5.506","5.506","5.506"
"27","5.761","5.761","5.761","5.761","5.761"
"28","6.005","6.005","6.005","6.005","6.005"
"29","6.240","6.240","6.240","6.240","6.240"
"30","6.466","6.466","6.466","6.466","6.466"
"31","6.685","6.685","6.685","6.685","6.685"
"32","6.897","6.897","6.897","6.897","6.897"
