"","A","T.A","S","T.M","M"
"1","1.403","1.403","1.403","1.403","1.403"
"2","1.187","0.818","0.810","0.819","1.453"
"3","0.912","0.528","0.518","0.528","1.132"
"4","1.160","0.678","0.662","0.678","1.495"
"5","0.666","0.367","0.358","0.367","0.855"
"6","1.050","0.594","0.574","0.594","1.363"
"7","1.136","0.644","0.624","0.644","1.491"
"8","1.113","0.633","0.612","0.633","1.470"
"9","0.470","0.255","0.248","0.255","0.619"
"10","0.777","0.426","0.411","0.426","1.014"
"11","0.990","0.554","0.532","0.554","1.297"
"12","1.069","0.596","0.574","0.597","1.411"
"13","1.114","0.622","0.600","0.622","1.477"
"14","1.126","0.630","0.607","0.630","1.496"
"15","1.120","0.630","0.607","0.630","1.495"
"16","1.076","0.608","0.584","0.608","1.437"
"17","0.436","0.235","0.227","0.235","0.583"
"18","0.627","0.337","0.327","0.337","0.825"
"19","0.759","0.413","0.397","0.413","0.996"
"20","0.856","0.468","0.450","0.468","1.124"
"21","0.928","0.514","0.492","0.514","1.220"
"22","0.985","0.548","0.525","0.549","1.299"
"23","1.028","0.571","0.547","0.571","1.362"
"24","1.060","0.588","0.565","0.588","1.409"
"25","1.113","0.618","0.594","0.618","1.483"
"26","1.126","0.627","0.603","0.627","1.501"
"27","1.130","0.628","0.604","0.628","1.509"
"28","1.126","0.627","0.602","0.627","1.508"
"29","1.118","0.623","0.599","0.623","1.499"
"30","1.102","0.616","0.592","0.617","1.476"
"31","1.083","0.606","0.581","0.606","1.453"
"32","1.056","0.594","0.569","0.594","1.418"
