"","A","T.A","S","T.M","M"
"1","2.200","2.200","2.200","2.200","2.200"
"2","2.311","2.051","2.043","2.051","2.385"
"3","1.939","1.617","1.604","1.617","2.022"
"4","2.289","1.937","1.923","1.937","2.379"
"5","1.527","1.236","1.223","1.236","1.617"
"6","2.204","1.835","1.813","1.835","2.312"
"7","2.300","1.921","1.905","1.921","2.405"
"8","2.218","1.853","1.837","1.853","2.317"
"9","1.158","0.917","0.905","0.917","1.241"
"10","1.752","1.421","1.403","1.421","1.857"
"11","2.126","1.754","1.729","1.754","2.244"
"12","2.244","1.862","1.840","1.862","2.360"
"13","2.288","1.901","1.882","1.901","2.399"
"14","2.289","1.905","1.886","1.905","2.400"
"15","2.256","1.876","1.858","1.876","2.363"
"16","2.161","1.796","1.777","1.796","2.263"
"17","1.116","0.880","0.867","0.880","1.201"
"18","1.493","1.193","1.177","1.193","1.592"
"19","1.738","1.402","1.383","1.402","1.846"
"20","1.908","1.554","1.531","1.554","2.020"
"21","2.025","1.661","1.636","1.661","2.143"
"22","2.116","1.745","1.719","1.745","2.235"
"23","2.182","1.804","1.779","1.804","2.300"
"24","2.225","1.842","1.819","1.842","2.342"
"25","2.306","1.911","1.889","1.911","2.422"
"26","2.309","1.916","1.895","1.916","2.425"
"27","2.307","1.916","1.896","1.916","2.423"
"28","2.290","1.901","1.881","1.901","2.404"
"29","2.262","1.879","1.858","1.879","2.373"
"30","2.224","1.845","1.825","1.845","2.333"
"31","2.178","1.807","1.787","1.807","2.284"
"32","2.128","1.763","1.743","1.763","2.232"
