"","A","T.A","S","T.M","M"
"1"," 0.0000"," 0.0000"," 0.0000"," 0.0000"," 0.00000"
"2","-1.0966","-1.0308","-0.9370","-1.0308","-1.10368"
"3","-2.5715","-2.3729","-1.9946","-2.3729","-2.88562"
"4","-0.2858","-0.2764","-0.2691","-0.2764","-0.24652"
"5","-1.8658","-1.7270","-0.5693","-1.7270","-2.38792"
"6","-1.8004","-1.7038","-0.7770","-1.7038","-1.92262"
"7","-0.6034","-0.5738","-0.3178","-0.5738","-0.56979"
"8","-0.0698","-0.0683","-0.0524","-0.0683","-0.04811"
"9","-1.3137","-1.2212","-0.3961","-1.2212","-1.69683"
"10","-2.2740","-2.1152","-0.6861","-2.1152","-2.82403"
"11","-2.2427","-2.1333","-0.8889","-2.1333","-2.45919"
"12","-1.4076","-1.3331","-0.6277","-1.3331","-1.47066"
"13","-0.8227","-0.7802","-0.4047","-0.7802","-0.80934"
"14","-0.4286","-0.4093","-0.2400","-0.4093","-0.38704"
"15","-0.1441","-0.1403","-0.0979","-0.1403","-0.11092"
"16","-0.0133","-0.0129","-0.0113","-0.0129","-0.00827"
"17","-1.2355","-1.1514","-0.3734","-1.1514","-1.60000"
"18","-1.7833","-1.6618","-0.5390","-1.6618","-2.30441"
"19","-2.2100","-2.0596","-0.6680","-2.0596","-2.80013"
"20","-2.5262","-2.3920","-0.7763","-2.3920","-2.98417"
"21","-2.4437","-2.3286","-0.8654","-2.3286","-2.74096"
"22","-2.0583","-1.9591","-0.8447","-1.9591","-2.24238"
"23","-1.6339","-1.5510","-0.7088","-1.5510","-1.73772"
"24","-1.2788","-1.2131","-0.5798","-1.2131","-1.32702"
"25","-0.9111","-0.8658","-0.4412","-0.8658","-0.90902"
"26","-0.6765","-0.6441","-0.3458","-0.6441","-0.65015"
"27","-0.4878","-0.4664","-0.2662","-0.4664","-0.44827"
"28","-0.3328","-0.3190","-0.1945","-0.3190","-0.29085"
"29","-0.2108","-0.2048","-0.1343","-0.2048","-0.17197"
"30","-0.1181","-0.1148","-0.0821","-0.1148","-0.08874"
"31","-0.0488","-0.0485","-0.0374","-0.0485","-0.03218"
"32"," 0.0000"," 0.0000"," 0.0000"," 0.0000"," 0.00000"
