"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.00000"," 0.000000"," 0.00000"," 0.00000"
"2","-0.35654","-0.13700","-0.108780","-0.13710","-0.74240"
"3","-0.39739","-0.11500","-0.051760","-0.11529","-1.12164"
"4","-0.09604","-0.02892","-0.015203","-0.02905","-0.16895"
"5","-0.20688","-0.07360","-0.015920","-0.07368","-0.69392"
"6","-0.27424","-0.10787","-0.023117","-0.10829","-1.09096"
"7","-0.13737","-0.04925","-0.013506","-0.04943","-0.40611"
"8","-0.02307","-0.00780","-0.002389","-0.00783","-0.02504"
"9","-0.13265","-0.04995","-0.009673","-0.04995","-0.37573"
"10","-0.23140","-0.09187","-0.016624","-0.09213","-0.95693"
"11","-0.27494","-0.11683","-0.020795","-0.11728","-1.18978"
"12","-0.22591","-0.09070","-0.018259","-0.09108","-0.92605"
"13","-0.15986","-0.06057","-0.013916","-0.06083","-0.56308"
"14","-0.09923","-0.03619","-0.009347","-0.03633","-0.27549"
"15","-0.04118","-0.01464","-0.004001","-0.01470","-0.06881"
"16","-0.00562","-0.00229","-0.000628","-0.00232","-0.00348"
"17","-0.11792","-0.04624","-0.008960","-0.04608","-0.31712"
"18","-0.17708","-0.06970","-0.012609","-0.06988","-0.62077"
"19","-0.22189","-0.08901","-0.015599","-0.08951","-0.90552"
"20","-0.25079","-0.10399","-0.018052","-0.10471","-1.10583"
"21","-0.26459","-0.11291","-0.019253","-0.11381","-1.18309"
"22","-0.26031","-0.11214","-0.019900","-0.11310","-1.15119"
"23","-0.23692","-0.10016","-0.018860","-0.10096","-1.02571"
"24","-0.20710","-0.08430","-0.016876","-0.08500","-0.85701"
"25","-0.16749","-0.06580","-0.014300","-0.06634","-0.62477"
"26","-0.13603","-0.05253","-0.012223","-0.05293","-0.46041"
"27","-0.10754","-0.04066","-0.009968","-0.04094","-0.31863"
"28","-0.07853","-0.02913","-0.007273","-0.02939","-0.20191"
"29","-0.05382","-0.01947","-0.005200","-0.01966","-0.11517"
"30","-0.03353","-0.01189","-0.003233","-0.01195","-0.05201"
"31","-0.01640","-0.00581","-0.001619","-0.00587","-0.01714"
"32"," 0.00000"," 0.00000"," 0.000000"," 0.00000"," 0.00000"
