"","A","T.A","S","T.M","M"
"1","0.0000","0.00000","0.00000","0.0000","0.0000"
"2","2.2669","1.71915","1.58460","1.7195","2.5984"
"3","3.3020","2.13706","1.57926","2.1386","3.9838"
"4","0.3445","0.20194","0.15602","0.2020","0.4848"
"5","1.8116","1.06976","0.56211","1.0700","2.5807"
"6","3.1544","2.17763","1.18921","2.1789","4.0286"
"7","0.9281","0.56623","0.34476","0.5664","1.2787"
"8","0.0507","0.02867","0.01552","0.0287","0.0970"
"9","0.9108","0.52778","0.25590","0.5279","1.5416"
"10","2.4824","1.59178","0.75175","1.5928","3.4119"
"11","3.3904","2.41718","1.14552","2.4206","4.4208"
"12","2.5560","1.72842","0.90664","1.7294","3.3603"
"13","1.3832","0.87696","0.48804","0.8772","1.8880"
"14","0.5656","0.34385","0.19786","0.3439","0.8197"
"15","0.1276","0.07591","0.04158","0.0759","0.2186"
"16","0.0095","0.00539","0.00218","0.0054","0.0213"
"17","0.8507","0.49075","0.22835","0.4913","1.6120"
"18","1.6302","0.98191","0.46423","0.9825","2.5015"
"19","2.3940","1.51327","0.70410","1.5145","3.3672"
"20","2.9542","1.99888","0.91744","2.0013","4.0105"
"21","3.2484","2.29791","1.05318","2.3019","4.3046"
"22","3.2042","2.27674","1.08219","2.2810","4.2037"
"23","2.8270","1.97378","0.98416","1.9762","3.7198"
"24","2.2794","1.53622","0.80145","1.5373","3.0409"
"25","1.5721","1.01979","0.55326","1.0203","2.1549"
"26","1.0626","0.66918","0.36879","0.6695","1.4886"
"27","0.6712","0.41512","0.23299","0.4152","0.9693"
"28","0.3887","0.23814","0.13367","0.2382","0.5890"
"29","0.2061","0.12492","0.07002","0.1250","0.3337"
"30","0.0941","0.05655","0.02962","0.0566","0.1704"
"31","0.0329","0.01922","0.00895","0.0192","0.0687"
"32","0.0000","0.00000","0.00000","0.0000","0.0000"
