"","A","T.A","S","T.M","M"
"1","0.00000","0.000000","0.000000","0.000000","0.0000"
"2","0.37580","0.148276","0.130364","0.148276","0.7387"
"3","0.86525","0.285664","0.197760","0.285664","1.7899"
"4","0.08154","0.022821","0.019224","0.022821","0.2823"
"5","0.68787","0.159104","0.046848","0.159104","2.5480"
"6","0.50939","0.161739","0.070885","0.161739","1.1287"
"7","0.16665","0.045843","0.024586","0.045843","0.4896"
"8","0.01592","0.003739","0.001426","0.003739","0.0924"
"9","0.32026","0.080736","0.020448","0.080736","2.1850"
"10","0.74539","0.224715","0.058272","0.224715","2.1991"
"11","0.58189","0.204595","0.067661","0.204595","1.4056"
"12","0.37233","0.122185","0.050889","0.122185","0.9174"
"13","0.20985","0.062308","0.029070","0.062308","0.6021"
"14","0.10696","0.029847","0.014301","0.029847","0.3839"
"15","0.03200","0.008495","0.003621","0.008495","0.1709"
"16","0.00241","0.000604","0.000151","0.000604","0.0213"
"17","0.28160","0.071936","0.017408","0.071936","2.2510"
"18","0.56759","0.147157","0.035584","0.147157","2.8506"
"19","0.76129","0.217344","0.053914","0.217344","2.5054"
"20","0.74896","0.272183","0.064768","0.272183","2.0066"
"21","0.63872","0.233131","0.067015","0.233131","1.5907"
"22","0.52083","0.180748","0.064116","0.180748","1.2648"
"23","0.41793","0.141647","0.055867","0.141647","1.0291"
"24","0.33091","0.106743","0.044015","0.106743","0.8356"
"25","0.23488","0.071055","0.031247","0.071055","0.6609"
"26","0.17267","0.049758","0.023431","0.049758","0.5369"
"27","0.12195","0.034383","0.015933","0.034383","0.4263"
"28","0.07974","0.021860","0.010618","0.021860","0.3212"
"29","0.04827","0.012785","0.006052","0.012785","0.2253"
"30","0.02469","0.006523","0.002626","0.006523","0.1420"
"31","0.00953","0.002458","0.000733","0.002458","0.0669"
"32","0.00000","0.000000","0.000000","0.000000","0.0000"
