"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.000000"
"2","-0.20086","-0.13384","-0.10118","-0.13384","-0.197600"
"3","-0.45945","-0.30355","-0.21406","-0.30355","-0.697264"
"4","-0.07246","-0.04987","-0.03878","-0.04987","-0.035240"
"5","-0.37448","-0.22952","-0.05168","-0.22952","-0.965120"
"6","-0.30526","-0.20870","-0.06709","-0.20870","-0.373338"
"7","-0.12486","-0.08685","-0.03057","-0.08685","-0.095596"
"8","-0.02213","-0.01593","-0.00562","-0.01593","-0.000816"
"9","-0.25088","-0.16263","-0.03513","-0.16263","-0.863689"
"10","-0.42415","-0.28110","-0.06104","-0.28110","-0.859412"
"11","-0.35488","-0.25541","-0.07392","-0.25541","-0.499235"
"12","-0.23981","-0.16955","-0.05444","-0.16955","-0.276070"
"13","-0.15334","-0.10989","-0.03737","-0.10989","-0.138367"
"14","-0.09193","-0.06836","-0.02374","-0.06836","-0.062050"
"15","-0.03902","-0.02976","-0.01078","-0.02976","-0.010731"
"16","-0.00305","-0.00288","-0.00127","-0.00288"," 0.001577"
"17","-0.23376","-0.15344","-0.03248","-0.15344","-0.873920"
"18","-0.33616","-0.22106","-0.04688","-0.22106","-1.008007"
"19","-0.41373","-0.27384","-0.05817","-0.27384","-0.935857"
"20","-0.44128","-0.31628","-0.06776","-0.31628","-0.770140"
"21","-0.38885","-0.28464","-0.07360","-0.28464","-0.592053"
"22","-0.32529","-0.23682","-0.06935","-0.23682","-0.446574"
"23","-0.26701","-0.19162","-0.05924","-0.19162","-0.334861"
"24","-0.21817","-0.15542","-0.05009","-0.15542","-0.243409"
"25","-0.16570","-0.11867","-0.03956","-0.11867","-0.158715"
"26","-0.13075","-0.09485","-0.03197","-0.09485","-0.109385"
"27","-0.10031","-0.07426","-0.02533","-0.07426","-0.072972"
"28","-0.07647","-0.05662","-0.01975","-0.05662","-0.045106"
"29","-0.05270","-0.03949","-0.01406","-0.03949","-0.024352"
"30","-0.03218","-0.02482","-0.00871","-0.02482","-0.005974"
"31","-0.01527","-0.01180","-0.00400","-0.01180","-0.000416"
"32"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.000000"
