"","L2.quantiles","Chisq.quantiles"
"0.9",2.05186773224867,2.70554345409542
"0.95",2.441392102085,3.84145882069412
"0.975",2.73993668041585,5.02388618731488
"0.99",2.9871765094338,6.63489660102121
