"","L.quantiles","Norm.quantiles"
"0.01",-1.01788241919719,-2.32634787404084
"0.025",-0.927583405745843,-1.95996398454005
"0.05",-0.812757122972097,-1.64485362695147
"0.1",-0.651331661316957,-1.2815515655446
"0.9",0.65672658308994,1.2815515655446
"0.95",0.81330824951587,1.64485362695147
"0.975",0.926970476897722,1.95996398454005
"0.99",1.01821570517978,2.32634787404084
