"","L2.quantiles","Chisq.quantiles"
"0.9",1.96121074414474,2.70554345409542
"0.95",2.2828688984571,3.84145882069412
"0.975",2.50585100538351,5.02388618731488
"0.99",2.63964026953935,6.63489660102121
