"","L2.quantiles","Chisq.quantiles"
"0.9",1.86108819809524,2.70554345409542
"0.95",2.10478011809524,3.84145882069412
"0.975",2.22662607809524,5.02388618731488
"0.99",2.29973365409524,6.63489660102121
