"","A","T.A","S","T.M","M"
"1","15.957","15.957","15.957","15.957","15.957"
"2","11.914","11.802","11.784","11.802","11.922"
"3"," 4.096"," 4.056"," 4.053"," 4.056"," 4.098"
"4","16.751","16.418","16.358","16.418","16.770"
"5"," 1.393"," 1.349"," 1.342"," 1.349"," 1.399"
"6"," 7.735"," 7.616"," 7.603"," 7.616"," 7.741"
"7","14.766","14.465","14.413","14.465","14.780"
"8","16.992","16.626","16.539","16.626","17.014"
"9"," 1.010"," 0.951"," 0.940"," 0.951"," 1.020"
"10"," 2.627"," 2.587"," 2.582"," 2.587"," 2.632"
"11"," 5.868"," 5.789"," 5.781"," 5.789"," 5.872"
"12","10.165"," 9.978"," 9.955"," 9.978","10.174"
"13","13.471","13.194","13.149","13.194","13.484"
"14","16.161","15.811","15.741","15.811","16.179"
"15","17.055","16.679","16.592","16.679","17.077"
"16","16.685","16.313","16.217","16.313","16.710"
"17"," 0.963"," 0.898"," 0.889"," 0.898"," 0.973"
"18"," 1.158"," 1.102"," 1.093"," 1.102"," 1.166"
"19"," 2.055"," 2.013"," 2.007"," 2.013"," 2.060"
"20"," 3.296"," 3.253"," 3.249"," 3.253"," 3.300"
"21"," 4.956"," 4.893"," 4.887"," 4.893"," 4.959"
"22"," 6.801"," 6.697"," 6.687"," 6.697"," 6.806"
"23"," 9.249"," 9.085"," 9.066"," 9.085"," 9.257"
"24","11.062","10.848","10.819","10.848","11.072"
"25","12.719","12.462","12.422","12.462","12.730"
"26","14.129","13.830","13.778","13.830","14.142"
"27","15.733","15.394","15.327","15.394","15.751"
"28","16.490","16.126","16.048","16.126","16.510"
"29","16.964","16.590","16.505","16.590","16.987"
"30","17.069","16.689","16.594","16.689","17.092"
"31","16.950","16.568","16.470","16.568","16.975"
"32","16.341","15.970","15.875","15.970","16.365"
"33"," 1.268"," 1.186"," 1.173"," 1.186"," 1.281"
"34"," 1.094"," 1.028"," 1.016"," 1.028"," 1.107"
"35"," 1.167"," 1.107"," 1.095"," 1.107"," 1.178"
"36"," 1.365"," 1.314"," 1.305"," 1.314"," 1.372"
"37"," 1.688"," 1.646"," 1.639"," 1.646"," 1.694"
"38"," 2.163"," 2.124"," 2.118"," 2.124"," 2.169"
"39"," 2.765"," 2.724"," 2.720"," 2.724"," 2.769"
"40"," 3.476"," 3.432"," 3.427"," 3.432"," 3.479"
"41"," 4.758"," 4.699"," 4.692"," 4.699"," 4.761"
"42"," 5.649"," 5.576"," 5.568"," 5.576"," 5.653"
"43"," 6.586"," 6.487"," 6.477"," 6.487"," 6.590"
"44"," 7.531"," 7.410"," 7.396"," 7.410"," 7.537"
"45"," 8.496"," 8.352"," 8.333"," 8.352"," 8.503"
"46"," 9.429"," 9.260"," 9.238"," 9.260"," 9.438"
"47","10.349","10.155","10.129","10.155","10.359"
"48","11.238","11.019","10.988","11.019","11.249"
"49","12.582","12.332","12.291","12.332","12.594"
"50","13.330","13.056","13.008","13.056","13.343"
"51","14.044","13.750","13.696","13.750","14.059"
"52","14.695","14.386","14.327","14.386","14.711"
"53","15.274","14.947","14.881","14.947","15.292"
"54","15.764","15.423","15.352","15.423","15.783"
"55","16.170","15.816","15.738","15.816","16.190"
"56","16.469","16.107","16.024","16.107","16.489"
"57","17.004","16.631","16.542","16.631","17.027"
"58","17.149","16.769","16.676","16.769","17.172"
"59","17.180","16.798","16.701","16.798","17.204"
"60","17.130","16.747","16.646","16.747","17.154"
"61","16.992","16.610","16.509","16.610","17.017"
"62","16.769","16.390","16.289","16.390","16.794"
"63","16.493","16.121","16.021","16.121","16.518"
"64","16.124","15.758","15.659","15.758","16.149"
