"","A","T.A","S","T.M","M"
"1","3.982","3.982","3.982","3.982","3.982"
"2","3.787","2.852","2.852","2.852","3.956"
"3","2.957","2.007","2.007","2.007","3.182"
"4","4.117","2.732","2.732","2.732","4.351"
"5","2.141","1.302","1.302","1.302","2.499"
"6","3.251","1.994","1.994","1.994","3.483"
"7","3.929","2.396","2.396","2.396","4.150"
"8","3.967","2.458","2.458","2.458","4.260"
"9","1.818","0.838","0.838","0.838","2.227"
"10","2.615","1.452","1.452","1.452","2.967"
"11","3.067","1.778","1.778","1.778","3.357"
"12","3.618","2.052","2.052","2.052","3.894"
"13","3.925","2.203","2.203","2.203","4.193"
"14","3.957","2.289","2.289","2.289","4.214"
"15","4.048","2.491","2.491","2.491","4.349"
"16","3.771","2.142","2.142","2.142","4.044"
"17","1.149","0.470","0.470","0.470","1.472"
"18","1.987","0.959","0.959","0.959","2.385"
"19","2.376","1.336","1.336","1.336","2.803"
"20","2.723","1.492","1.492","1.492","3.028"
"21","3.018","1.755","1.755","1.755","3.304"
"22","3.112","1.757","1.757","1.757","3.390"
"23","3.564","1.962","1.962","1.962","3.809"
"24","3.609","2.033","2.033","2.033","3.906"
"25","3.784","2.062","2.062","2.062","4.059"
"26","3.863","2.172","2.172","2.172","4.124"
"27","4.020","2.260","2.260","2.260","4.264"
"28","4.105","2.419","2.419","2.419","4.390"
"29","4.020","2.441","2.441","2.441","4.318"
"30","3.940","2.367","2.367","2.367","4.248"
"31","3.915","2.214","2.214","2.214","4.208"
"32","3.658","2.040","2.040","2.040","3.933"
"33","1.254","0.435","0.435","0.435","1.587"
"34","1.841","0.774","0.774","0.774","2.227"
"35","2.150","0.998","0.998","0.998","2.540"
"36","2.106","1.115","1.115","1.115","2.527"
"37","2.230","1.206","1.206","1.206","2.637"
"38","2.392","1.333","1.333","1.333","2.781"
"39","2.635","1.443","1.443","1.443","2.974"
"40","2.737","1.462","1.462","1.462","3.012"
"41","3.023","1.766","1.766","1.766","3.305"
"42","3.088","1.792","1.792","1.792","3.366"
"43","3.103","1.744","1.744","1.744","3.395"
"44","3.267","1.837","1.837","1.837","3.535"
"45","3.338","1.832","1.832","1.832","3.571"
"46","3.486","1.972","1.972","1.972","3.736"
"47","3.591","2.010","2.010","2.010","3.869"
"48","3.577","1.987","1.987","1.987","3.882"
"49","3.742","2.095","2.095","2.095","4.012"
"50","3.926","2.189","2.189","2.189","4.198"
"51","3.947","2.219","2.219","2.219","4.220"
"52","3.955","2.241","2.241","2.241","4.198"
"53","3.971","2.225","2.225","2.225","4.222"
"54","4.009","2.295","2.295","2.295","4.250"
"55","3.951","2.277","2.277","2.277","4.194"
"56","4.068","2.396","2.396","2.396","4.347"
"57","4.032","2.406","2.406","2.406","4.333"
"58","4.023","2.451","2.451","2.451","4.304"
"59","4.018","2.463","2.463","2.463","4.316"
"60","3.924","2.318","2.318","2.318","4.244"
"61","3.887","2.282","2.282","2.282","4.170"
"62","3.847","2.207","2.207","2.207","4.140"
"63","3.704","2.114","2.114","2.114","3.973"
"64","3.621","2.021","2.021","2.021","3.897"
