"","A","T.A","S","T.M","M"
"1","6.655","6.655","6.655","6.655","6.655"
"2","3.686","3.069","3.013","3.069","3.865"
"3","1.388","1.139","1.134","1.139","1.528"
"4","5.837","4.376","4.055","4.376","6.545"
"5","0.765","0.557","0.547","0.557","0.902"
"6","2.246","1.837","1.812","1.837","2.435"
"7","4.980","3.715","3.439","3.715","5.492"
"8","5.986","4.362","3.864","4.362","6.930"
"9","0.742","0.474","0.429","0.474","0.960"
"10","1.103","0.823","0.812","0.823","1.257"
"11","1.678","1.392","1.380","1.392","1.873"
"12","2.948","2.339","2.263","2.339","3.137"
"13","4.493","3.465","3.283","3.465","4.858"
"14","5.642","4.240","3.879","4.240","6.309"
"15","6.121","4.525","4.020","4.525","6.950"
"16","5.937","4.305","3.833","4.305","6.892"
"17","0.810","0.381","0.314","0.381","1.037"
"18","0.671","0.426","0.395","0.426","0.832"
"19","0.996","0.742","0.735","0.742","1.160"
"20","1.084","0.828","0.817","0.828","1.221"
"21","1.536","1.217","1.202","1.217","1.719"
"22","1.982","1.662","1.649","1.662","2.181"
"23","2.654","2.148","2.092","2.148","2.876"
"24","3.280","2.620","2.509","2.620","3.489"
"25","4.061","3.156","2.996","3.156","4.357"
"26","4.659","3.521","3.307","3.521","5.086"
"27","5.404","4.027","3.682","4.027","5.983"
"28","5.782","4.343","3.941","4.343","6.486"
"29","6.012","4.479","4.017","4.479","6.778"
"30","6.146","4.549","4.043","4.549","7.028"
"31","6.057","4.442","3.961","4.442","7.003"
"32","5.837","4.288","3.797","4.288","6.740"
"33","1.075","0.538","0.435","0.538","1.459"
"34","0.949","0.510","0.431","0.510","1.203"
"35","0.681","0.430","0.394","0.430","0.876"
"36","0.824","0.570","0.543","0.570","0.962"
"37","0.865","0.634","0.626","0.634","1.030"
"38","0.976","0.730","0.723","0.730","1.138"
"39","1.077","0.800","0.788","0.800","1.217"
"40","1.146","0.894","0.885","0.894","1.285"
"41","1.478","1.162","1.148","1.162","1.634"
"42","1.699","1.385","1.370","1.385","1.871"
"43","1.852","1.536","1.524","1.536","2.052"
"44","2.194","1.815","1.794","1.815","2.365"
"45","2.428","1.949","1.915","1.949","2.661"
"46","2.622","2.093","2.039","2.093","2.831"
"47","2.990","2.410","2.327","2.410","3.179"
"48","3.371","2.648","2.529","2.648","3.609"
"49","3.923","3.060","2.903","3.060","4.212"
"50","4.458","3.414","3.219","3.414","4.800"
"51","4.647","3.523","3.308","3.523","5.074"
"52","4.909","3.667","3.414","3.667","5.395"
"53","5.305","3.953","3.638","3.953","5.820"
"54","5.483","4.095","3.726","4.095","6.078"
"55","5.638","4.228","3.868","4.228","6.323"
"56","5.764","4.342","3.929","4.342","6.493"
"57","5.982","4.464","4.026","4.464","6.686"
"58","6.143","4.588","4.079","4.588","6.964"
"59","6.213","4.618","4.110","4.618","7.088"
"60","6.092","4.455","3.957","4.455","7.044"
"61","6.092","4.442","3.926","4.442","7.020"
"62","6.016","4.419","3.938","4.419","6.940"
"63","5.891","4.305","3.809","4.305","6.815"
"64","5.784","4.212","3.722","4.212","6.674"
