"","A","T.A","S","T.M","M"
"1","10.223","10.223","10.223","10.223","10.223"
"2","11.464","11.304","11.304","11.304","11.464"
"3"," 9.048"," 8.860"," 8.860"," 8.860"," 9.048"
"4","12.331","12.064","12.064","12.064","12.331"
"5"," 5.920"," 5.674"," 5.622"," 5.674"," 5.920"
"6","10.922","10.612","10.535","10.612","10.922"
"7","12.025","11.711","11.679","11.711","12.025"
"8","11.566","11.272","11.258","11.272","11.566"
"9"," 3.642"," 3.475"," 3.418"," 3.475"," 3.642"
"10"," 8.070"," 7.754"," 7.664"," 7.754"," 8.070"
"11"," 9.847"," 9.527"," 9.455"," 9.527"," 9.847"
"12","11.655","11.324","11.280","11.324","11.655"
"13","11.686","11.354","11.337","11.354","11.686"
"14","12.299","11.887","11.869","11.887","12.299"
"15","12.049","11.726","11.720","11.726","12.049"
"16","10.964","10.684","10.663","10.684","10.964"
"17"," 2.138"," 2.006"," 1.978"," 2.006"," 2.138"
"18"," 4.826"," 4.628"," 4.542"," 4.628"," 4.826"
"19"," 7.370"," 7.060"," 6.968"," 7.060"," 7.370"
"20"," 8.614"," 8.316"," 8.227"," 8.316"," 8.614"
"21"," 9.279"," 8.970"," 8.879"," 8.970"," 9.279"
"22","10.588","10.205","10.111","10.205","10.588"
"23","11.332","10.961","10.906","10.961","11.332"
"24","11.674","11.340","11.304","11.340","11.674"
"25","11.590","11.239","11.207","11.239","11.590"
"26","11.870","11.531","11.511","11.531","11.870"
"27","12.356","11.978","11.956","11.978","12.356"
"28","12.310","11.896","11.887","11.896","12.310"
"29","12.151","11.767","11.763","11.767","12.151"
"30","11.943","11.581","11.569","11.581","11.943"
"31","11.312","11.007","10.989","11.007","11.312"
"32","10.596","10.309","10.286","10.309","10.596"
"33"," 2.048"," 1.920"," 1.894"," 1.920"," 2.048"
"34"," 3.490"," 3.283"," 3.230"," 3.283"," 3.490"
"35"," 4.756"," 4.582"," 4.500"," 4.582"," 4.756"
"36"," 5.921"," 5.642"," 5.597"," 5.642"," 5.921"
"37"," 6.426"," 6.098"," 6.027"," 6.098"," 6.426"
"38"," 7.464"," 7.142"," 7.043"," 7.142"," 7.464"
"39"," 8.103"," 7.798"," 7.702"," 7.798"," 8.103"
"40"," 8.480"," 8.180"," 8.084"," 8.180"," 8.480"
"41"," 9.477"," 9.160"," 9.051"," 9.160"," 9.477"
"42"," 9.913"," 9.593"," 9.507"," 9.593"," 9.913"
"43","10.412","10.060"," 9.972","10.060","10.412"
"44","10.932","10.581","10.509","10.581","10.932"
"45","11.107","10.724","10.666","10.724","11.107"
"46","11.259","10.906","10.859","10.906","11.259"
"47","11.630","11.286","11.249","11.286","11.630"
"48","11.522","11.223","11.193","11.223","11.522"
"49","11.594","11.241","11.213","11.241","11.594"
"50","11.726","11.390","11.368","11.390","11.726"
"51","12.020","11.669","11.651","11.669","12.020"
"52","12.105","11.732","11.704","11.732","12.105"
"53","12.237","11.847","11.825","11.847","12.237"
"54","12.284","11.904","11.879","11.904","12.284"
"55","12.196","11.780","11.766","11.780","12.196"
"56","12.234","11.849","11.843","11.849","12.234"
"57","12.296","11.912","11.906","11.912","12.296"
"58","12.119","11.779","11.774","11.779","12.119"
"59","12.118","11.772","11.762","11.772","12.118"
"60","11.780","11.428","11.411","11.428","11.780"
"61","11.596","11.269","11.255","11.269","11.596"
"62","11.158","10.871","10.850","10.871","11.158"
"63","10.805","10.527","10.503","10.527","10.805"
"64","10.420","10.132","10.105","10.132","10.420"
