"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.00000","0.00000","0.0000"
"2","6.34720","5.98320","5.98320","5.98320","6.4568"
"3","7.43720","6.50360","6.50360","6.50360","7.6240"
"4","1.87640","1.44787","1.44787","1.44787","2.0101"
"5","5.67040","4.71040","4.71040","4.71040","5.9296"
"6","7.46667","6.38720","6.38720","6.38720","7.6363"
"7","4.28096","3.45024","3.45024","3.45024","4.4627"
"8","0.28434","0.19291","0.19291","0.19291","0.3552"
"9","4.03200","2.84160","2.78400","2.84160","4.4032"
"10","6.77973","5.65600","5.61280","5.65600","6.9909"
"11","7.52896","6.30688","6.25280","6.30688","7.7222"
"12","7.03360","5.85326","5.82034","5.85326","7.2009"
"13","5.40516","4.20480","4.15929","4.20480","5.5908"
"14","3.05920","2.21513","2.16262","2.21513","3.2401"
"15","0.85071","0.54215","0.52726","0.54215","0.9605"
"16","0.04053","0.02944","0.02944","0.02944","0.0550"
"17","2.17600","1.47520","1.44640","1.47520","2.5728"
"18","5.24800","3.93920","3.85280","3.93920","5.5595"
"19","6.83008","5.62176","5.52960","5.62176","7.1424"
"20","7.04914","5.85509","5.80937","5.85509","7.2777"
"21","7.53209","6.30187","6.25067","6.30187","7.7340"
"22","7.57062","6.33949","6.28247","6.33949","7.7161"
"23","7.36492","6.08222","6.04062","6.08222","7.5254"
"24","6.69696","5.52896","5.48096","5.52896","6.8668"
"25","5.87294","4.66918","4.62682","4.66918","6.0469"
"26","4.85861","3.77482","3.72615","3.77482","5.0317"
"27","3.54438","2.64107","2.58011","2.64107","3.7059"
"28","2.42365","1.70963","1.65398","1.70963","2.6151"
"29","1.31686","0.87450","0.84941","0.87450","1.4582"
"30","0.50394","0.31384","0.30625","0.31384","0.6068"
"31","0.09799","0.06852","0.06753","0.06852","0.1364"
"32","0.00826","0.00547","0.00537","0.00547","0.0103"
"33","2.02240","1.33120","1.30560","1.33120","2.4576"
"34","3.90827","2.67093","2.61760","2.67093","4.3776"
"35","5.29408","3.78880","3.70688","3.78880","5.6269"
"36","5.75634","4.48731","4.37669","4.48731","6.0526"
"37","6.24640","5.01476","4.94364","5.01476","6.4996"
"38","6.54895","5.33178","5.26138","5.33178","6.7840"
"39","6.55754","5.39963","5.36812","5.39963","6.7486"
"40","7.06901","5.72245","5.68789","5.72245","7.2823"
"41","7.63784","6.28405","6.23849","6.28405","7.8441"
"42","7.64362","6.31377","6.26526","6.31377","7.8484"
"43","7.69950","6.39147","6.33996","6.39147","7.8909"
"44","7.57983","6.21190","6.17183","6.21190","7.7446"
"45","7.43629","6.11840","6.07514","6.11840","7.6052"
"46","7.21067","5.94204","5.90791","5.94204","7.3775"
"47","6.79548","5.62582","5.58852","5.62582","6.9676"
"48","6.52057","5.32150","5.28103","5.32150","6.6956"
"49","5.98962","4.73135","4.69333","4.73135","6.1549"
"50","5.51497","4.25765","4.21650","4.25765","5.6942"
"51","5.08402","3.87390","3.82962","3.87390","5.2528"
"52","4.55024","3.44812","3.38888","3.44812","4.7360"
"53","3.94178","2.92027","2.85783","2.92027","4.1253"
"54","3.44112","2.44153","2.38780","2.44153","3.6096"
"55","2.76537","1.93991","1.89383","1.93991","2.9463"
"56","2.21358","1.50060","1.45144","1.50060","2.4102"
"57","1.50256","0.97541","0.94602","0.97541","1.6619"
"58","0.99037","0.63096","0.61289","0.63096","1.1189"
"59","0.60764","0.36178","0.35200","0.36178","0.7192"
"60","0.35142","0.21225","0.20806","0.21225","0.4371"
"61","0.16528","0.10554","0.10274","0.10554","0.2223"
"62","0.07506","0.05467","0.05424","0.05467","0.1033"
"63","0.02602","0.01889","0.01878","0.01889","0.0365"
"64","0.00000","0.00000","0.00000","0.00000","0.0000"
