"","A","T.A","S","T.M","M"
"1"," 0.0000"," 0.0000"," 0.00000"," 0.0000"," 0.0000"
"2"," 3.2456"," 3.2456"," 3.07120"," 3.2456"," 3.2456"
"3","18.4400","18.4400","16.22160","18.4400","18.4400"
"4"," 0.4731"," 0.4731"," 0.41840"," 0.4731"," 0.4731"
"5","11.5200","11.5200"," 7.37280","11.5200","11.5200"
"6"," 8.8075"," 8.8075"," 7.76320"," 8.8075"," 8.8075"
"7"," 1.1456"," 1.1456"," 1.03616"," 1.1456"," 1.1456"
"8"," 0.1467"," 0.1467"," 0.10514"," 0.1467"," 0.1467"
"9"," 5.7024"," 5.7024"," 3.68640"," 5.7600"," 5.7600"
"10","18.3696","18.3696","12.32213","18.3957","18.3957"
"11","13.9786","13.9786","12.03456","13.9866","13.9866"
"12"," 5.0432"," 5.0432"," 4.47269"," 5.0432"," 5.0432"
"13"," 1.9506"," 1.9506"," 1.79058"," 1.9620"," 1.9620"
"14"," 0.6195"," 0.6195"," 0.56087"," 0.6313"," 0.6313"
"15"," 0.2908"," 0.2908"," 0.25403"," 0.3057"," 0.3057"
"16"," 0.0388"," 0.0388"," 0.02603"," 0.0405"," 0.0405"
"17"," 2.8512"," 2.8512"," 1.84320"," 2.8800"," 2.8800"
"18"," 8.5536"," 8.5536"," 5.52960"," 8.6400"," 8.6400"
"19","16.2202","16.2202","10.48576","16.2842","16.2842"
"20","19.2731","19.2731","14.04891","19.3024","19.3024"
"21","16.3854","16.3854","13.71022","16.3911","16.3911"
"22","11.3664","11.3664"," 9.95607","11.3711","11.3711"
"23"," 6.5090"," 6.5090"," 5.80332"," 6.5113"," 6.5113"
"24"," 4.1035"," 4.1035"," 3.65568"," 4.1037"," 4.1037"
"25"," 2.5696"," 2.5696"," 2.34014"," 2.5743"," 2.5743"
"26"," 1.4988"," 1.4988"," 1.37297"," 1.5070"," 1.5070"
"27"," 0.7936"," 0.7936"," 0.72533"," 0.7991"," 0.7991"
"28"," 0.5309"," 0.5309"," 0.46637"," 0.5398"," 0.5398"
"29"," 0.3666"," 0.3666"," 0.32256"," 0.3794"," 0.3794"
"30"," 0.2119"," 0.2119"," 0.17351"," 0.2238"," 0.2238"
"31"," 0.0798"," 0.0798"," 0.06003"," 0.0825"," 0.0825"
"32"," 0.0102"," 0.0102"," 0.00661"," 0.0103"," 0.0103"
"33"," 2.5344"," 2.5344"," 1.63840"," 2.5600"," 2.5600"
"34"," 5.2800"," 5.2800"," 3.41333"," 5.3333"," 5.3333"
"35"," 8.1101"," 8.1101"," 5.24288"," 8.1920"," 8.1920"
"36","10.9522","10.9522"," 7.08023","11.0629","11.0629"
"37","13.7984","13.7984"," 8.92018","13.8695","13.8695"
"38","16.4975","16.4975","10.76131","16.5446","16.5446"
"39","18.3217","18.3217","12.60308","18.3532","18.3532"
"40","18.6859","18.6859","14.14827","18.7068","18.7068"
"41","17.5296","17.5296","14.44744","17.5390","17.5390"
"42","15.0568","15.0568","12.91183","15.0690","15.0690"
"43","12.5230","12.5230","10.90804","12.5306","12.5306"
"44"," 9.7380"," 9.7380"," 8.59047"," 9.7391"," 9.7391"
"45"," 7.5272"," 7.5272"," 6.73997"," 7.5274"," 7.5274"
"46"," 5.8823"," 5.8823"," 5.25179"," 5.8833"," 5.8833"
"47"," 4.5839"," 4.5839"," 4.08894"," 4.5842"," 4.5842"
"48"," 3.6930"," 3.6930"," 3.31809"," 3.6938"," 3.6938"
"49"," 2.8300"," 2.8300"," 2.58172"," 2.8331"," 2.8331"
"50"," 2.1334"," 2.1334"," 1.94706"," 2.1424"," 2.1424"
"51"," 1.6515"," 1.6515"," 1.51870"," 1.6578"," 1.6578"
"52"," 1.2490"," 1.2490"," 1.13953"," 1.2531"," 1.2531"
"53"," 0.9166"," 0.9166"," 0.84105"," 0.9266"," 0.9266"
"54"," 0.7292"," 0.7292"," 0.66441"," 0.7364"," 0.7364"
"55"," 0.5968"," 0.5968"," 0.53532"," 0.6059"," 0.6059"
"56"," 0.4819"," 0.4819"," 0.42812"," 0.4929"," 0.4929"
"57"," 0.3828"," 0.3828"," 0.33646"," 0.3934"," 0.3934"
"58"," 0.3248"," 0.3248"," 0.28562"," 0.3373"," 0.3373"
"59"," 0.2399"," 0.2399"," 0.20383"," 0.2546"," 0.2546"
"60"," 0.1601"," 0.1601"," 0.12893"," 0.1676"," 0.1676"
"61"," 0.1036"," 0.1036"," 0.07545"," 0.1064"," 0.1064"
"62"," 0.0712"," 0.0712"," 0.05163"," 0.0729"," 0.0729"
"63"," 0.0272"," 0.0272"," 0.01763"," 0.0281"," 0.0281"
"64"," 0.0000"," 0.0000"," 0.00000"," 0.0000"," 0.0000"
