"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.00000","0.00000","0.0000"
"2","5.11600","4.63120","4.43760","4.63120","5.2696"
"3","8.02880","6.78840","6.02000","6.78840","8.2256"
"4","0.63893","0.55507","0.52720","0.55507","0.7077"
"5","4.82240","3.71520","2.74240","3.71520","5.2960"
"6","7.62240","6.29787","4.76933","6.29787","7.8624"
"7","2.26816","1.86176","1.54304","1.86176","2.4230"
"8","0.11520","0.08514","0.06274","0.08514","0.1303"
"9","2.15040","1.58720","1.10080","1.58720","2.4832"
"10","7.38987","5.72960","3.98987","5.72960","7.7163"
"11","8.32256","6.89120","4.80544","6.89120","8.5466"
"12","6.62583","5.30651","3.84914","5.30651","6.8901"
"13","3.53493","2.73280","2.08071","2.73280","3.7440"
"14","1.24742","0.96218","0.76233","0.96218","1.3609"
"15","0.29243","0.20566","0.16062","0.20566","0.3284"
"16","0.02859","0.02219","0.01323","0.02219","0.0410"
"17","1.25120","0.86720","0.56640","0.86720","1.4720"
"18","3.41227","2.54187","1.71627","2.54187","3.7845"
"19","6.39488","4.90752","3.33824","4.90752","6.7840"
"20","7.89760","6.33417","4.36114","6.33417","8.2359"
"21","8.33422","6.80676","4.59093","6.80676","8.6244"
"22","7.95927","6.49425","4.58240","6.49425","8.2223"
"23","7.39618","6.01969","4.29514","6.01969","7.6869"
"24","5.88779","4.70507","3.43232","4.70507","6.1687"
"25","4.23435","3.33384","2.53308","3.33384","4.4597"
"26","2.84413","2.17853","1.70324","2.17853","3.0255"
"27","1.59573","1.23490","0.97463","1.23490","1.7237"
"28","0.89489","0.70511","0.56097","0.70511","1.0012"
"29","0.43366","0.32512","0.26726","0.32512","0.4859"
"30","0.17730","0.12326","0.09339","0.12326","0.2043"
"31","0.06080","0.04756","0.02924","0.04756","0.0737"
"32","0.00815","0.00568","0.00341","0.00568","0.0103"
"33","1.17760","0.79360","0.51200","0.79360","1.4848"
"34","2.02880","1.48267","0.99200","1.48267","2.3296"
"35","3.16928","2.36032","1.58720","2.36032","3.5226"
"36","4.54857","3.37097","2.28297","3.37097","5.0578"
"37","5.67467","4.24676","2.88427","4.24676","6.1440"
"38","6.59956","5.11476","3.46356","5.11476","6.9469"
"39","7.39446","5.81908","4.03495","5.81908","7.7292"
"40","7.72053","6.18112","4.23979","6.18112","8.0367"
"41","8.31511","6.84235","4.54212","6.84235","8.6212"
"42","8.48842","6.98476","4.82627","6.98476","8.7889"
"43","8.13074","6.65813","4.69851","6.65813","8.3980"
"44","7.81245","6.35437","4.52897","6.35437","8.0729"
"45","7.59987","6.15398","4.37683","6.15398","7.8531"
"46","6.98311","5.66139","4.08273","5.66139","7.2894"
"47","6.25677","5.01385","3.60541","5.01385","6.5421"
"48","5.42885","4.30906","3.18431","4.30906","5.6857"
"49","4.53741","3.60805","2.71825","3.60805","4.7523"
"50","3.82958","2.96210","2.26030","2.96210","4.0426"
"51","3.08722","2.36765","1.85427","2.36765","3.2747"
"52","2.46794","1.88898","1.49022","1.88898","2.6250"
"53","1.93499","1.48980","1.16574","1.48980","2.0730"
"54","1.42631","1.12982","0.88603","1.12982","1.5509"
"55","1.09739","0.85732","0.67470","0.85732","1.2151"
"56","0.78856","0.61535","0.48708","0.61535","0.8775"
"57","0.49829","0.37499","0.30524","0.37499","0.5669"
"58","0.32929","0.23542","0.19225","0.23542","0.3765"
"59","0.20758","0.14768","0.11508","0.14768","0.2391"
"60","0.13172","0.08890","0.06656","0.08890","0.1522"
"61","0.08342","0.06187","0.04323","0.06187","0.0975"
"62","0.05294","0.04079","0.02473","0.04079","0.0673"
"63","0.02172","0.01500","0.00850","0.01500","0.0306"
"64","0.00000","0.00000","0.00000","0.00000","0.0000"
