"","A","T.A","S","T.M","M"
"1","0.00000","0.000000","0.000000","0.000000","0.0000"
"2","1.18640","0.428000","0.366400","0.428000","1.5752"
"3","2.25640","0.944400","0.606800","0.944400","3.6720"
"4","0.10893","0.030000","0.022000","0.030000","0.2587"
"5","0.96960","0.406400","0.028800","0.406400","1.8272"
"6","2.02773","0.772533","0.096267","0.772533","3.5637"
"7","0.32960","0.131840","0.031360","0.131840","0.6086"
"8","0.03886","0.016571","0.009257","0.016571","0.1193"
"9","0.48000","0.198400","0.025600","0.198400","1.1456"
"10","1.57920","0.806933","0.090133","0.806933","3.2107"
"11","2.07904","1.008960","0.169280","1.008960","3.9539"
"12","1.28457","0.558629","0.058514","0.558629","2.3936"
"13","0.52267","0.184178","0.025600","0.184178","1.0475"
"14","0.12931","0.046691","0.024582","0.046691","0.3113"
"15","0.06708","0.021785","0.009969","0.021785","0.2299"
"16","0.01237","0.004693","0.001707","0.004693","0.0410"
"17","0.33600","0.131200","0.028800","0.131200","1.0112"
"18","0.59840","0.265600","0.009600","0.265600","1.4123"
"19","1.28000","0.624640","0.064000","0.624640","2.6573"
"20","1.72069","0.864914","0.117029","0.864914","3.5511"
"21","1.93280","0.981333","0.172089","0.981333","3.8841"
"22","1.93280","0.891345","0.140800","0.891345","3.7004"
"23","1.47914","0.626462","0.071138","0.626462","2.8702"
"24","1.00885","0.418347","0.036053","0.418347","1.8935"
"25","0.65073","0.238118","0.031812","0.238118","1.3124"
"26","0.39495","0.136253","0.028463","0.136253","0.7916"
"27","0.18590","0.065829","0.021943","0.065829","0.4059"
"28","0.11242","0.043965","0.020035","0.043965","0.2933"
"29","0.08038","0.020480","0.008192","0.020480","0.2570"
"30","0.04883","0.020859","0.011852","0.020859","0.1797"
"31","0.02306","0.012469","0.005407","0.012469","0.0843"
"32","0.00258","0.000929","0.000103","0.000929","0.0103"
"33","0.40960","0.128000","0.025600","0.128000","1.4080"
"34","0.47787","0.206933","0.053333","0.206933","1.1520"
"35","0.57856","0.276480","0.005120","0.276480","1.4029"
"36","0.82651","0.381257","0.022857","0.381257","1.8249"
"37","1.07236","0.503467","0.045511","0.503467","2.2215"
"38","1.31258","0.680145","0.070400","0.680145","2.7206"
"39","1.52812","0.773908","0.096492","0.773908","3.2394"
"40","1.71008","0.877653","0.123307","0.877653","3.4560"
"41","1.87934","0.970165","0.166024","0.970165","3.8897"
"42","2.04261","1.021305","0.163032","1.021305","4.0286"
"43","1.96998","0.968229","0.161219","0.968229","3.8949"
"44","1.89663","0.831443","0.111304","0.831443","3.7320"
"45","1.60154","0.661760","0.073984","0.661760","3.2655"
"46","1.35301","0.593541","0.060681","0.593541","2.6814"
"47","1.16171","0.517517","0.049655","0.517517","2.2290"
"48","0.93068","0.376568","0.029729","0.376568","1.7912"
"49","0.69353","0.269964","0.027927","0.269964","1.4111"
"50","0.55003","0.203520","0.030903","0.203520","1.1461"
"51","0.41029","0.157059","0.033903","0.157059","0.8739"
"52","0.34133","0.139323","0.027733","0.139323","0.6899"
"53","0.24101","0.098029","0.022478","0.098029","0.5151"
"54","0.17146","0.062065","0.025153","0.062065","0.3792"
"55","0.12516","0.044942","0.020480","0.044942","0.3152"
"56","0.10349","0.032817","0.016477","0.032817","0.2849"
"57","0.07941","0.017894","0.006400","0.017894","0.2649"
"58","0.06676","0.020078","0.008031","0.020078","0.2264"
"59","0.05700","0.021374","0.009781","0.021374","0.1937"
"60","0.03770","0.018153","0.007447","0.018153","0.1313"
"61","0.02425","0.009993","0.005502","0.009993","0.1046"
"62","0.01866","0.008678","0.003905","0.008678","0.0720"
"63","0.00923","0.003462","0.000944","0.003462","0.0306"
"64","0.00000","0.000000","0.000000","0.000000","0.0000"
