"","A","T.A","S","T.M","M"
"1","0.000000","0.00000","0.0000","0.00000","0.0000"
"2","0.766400","0.31760","0.2760","0.31760","1.1296"
"3","1.130000","0.32440","0.1444","0.32440","2.2064"
"4","0.083333","0.02493","0.0108","0.02493","0.3088"
"5","0.243200","0.14400","0.0000","0.14400","1.1904"
"6","0.426667","0.19920","0.0000","0.19920","1.9723"
"7","0.118400","0.04224","0.0000","0.04224","0.5914"
"8","0.010057","0.00491","0.0000","0.00491","0.1394"
"9","0.224000","0.10880","0.0000","0.10880","0.9600"
"10","0.413867","0.22347","0.0000","0.22347","1.6491"
"11","0.645120","0.30048","0.0000","0.30048","2.3104"
"12","0.299886","0.13989","0.0000","0.13989","1.5296"
"13","0.137244","0.03556","0.0000","0.03556","0.8540"
"14","0.066327","0.03069","0.0000","0.03069","0.4113"
"15","0.044308","0.01908","0.0000","0.01908","0.2506"
"16","0.006400","0.00341","0.0000","0.00341","0.0384"
"17","0.102400","0.03520","0.0000","0.03520","0.9600"
"18","0.187733","0.10560","0.0000","0.10560","1.0112"
"19","0.320000","0.17920","0.0000","0.17920","1.3107"
"20","0.530286","0.29989","0.0000","0.29989","1.9383"
"21","0.580267","0.32142","0.0000","0.32142","2.1732"
"22","0.520145","0.24553","0.0000","0.24553","2.1772"
"23","0.348554","0.16418","0.0000","0.16418","1.7950"
"24","0.216747","0.10133","0.0000","0.10133","1.2774"
"25","0.150588","0.04574","0.0000","0.04574","1.0519"
"26","0.125305","0.03284","0.0000","0.03284","0.7660"
"27","0.084724","0.03048","0.0000","0.03048","0.4687"
"28","0.053426","0.03172","0.0000","0.03172","0.3078"
"29","0.051712","0.01843","0.0000","0.01843","0.2796"
"30","0.024178","0.01280","0.0000","0.01280","0.1754"
"31","0.010593","0.00210","0.0000","0.00210","0.0808"
"32","0.000826","0.00031","0.0000","0.00031","0.0103"
"33","0.128000","0.05120","0.0000","0.05120","1.3056"
"34","0.219733","0.09173","0.0000","0.09173","0.9813"
"35","0.245760","0.11264","0.0000","0.11264","1.0701"
"36","0.233143","0.12709","0.0000","0.12709","1.1593"
"37","0.247467","0.15360","0.0000","0.15360","1.1577"
"38","0.320582","0.16931","0.0000","0.16931","1.3801"
"39","0.450954","0.24222","0.0000","0.24222","1.7625"
"40","0.555947","0.31872","0.0000","0.31872","2.0668"
"41","0.547765","0.32941","0.0000","0.32941","2.2152"
"42","0.553768","0.30451","0.0000","0.30451","2.2690"
"43","0.497067","0.28861","0.0000","0.28861","2.2906"
"44","0.407374","0.20146","0.0000","0.20146","2.1237"
"45","0.329472","0.18099","0.0000","0.18099","1.9466"
"46","0.292978","0.15265","0.0000","0.15265","1.7417"
"47","0.229297","0.12601","0.0000","0.12601","1.4415"
"48","0.161858","0.08341","0.0000","0.08341","1.2412"
"49","0.129552","0.05120","0.0000","0.05120","1.0814"
"50","0.108069","0.03858","0.0000","0.03858","0.9516"
"51","0.105168","0.03459","0.0000","0.03459","0.8047"
"52","0.082544","0.03463","0.0000","0.03463","0.6321"
"53","0.079922","0.03559","0.0000","0.03559","0.5289"
"54","0.059386","0.02902","0.0000","0.02902","0.4423"
"55","0.050062","0.02844","0.0000","0.02844","0.3476"
"56","0.044528","0.02873","0.0000","0.02873","0.2969"
"57","0.041665","0.02024","0.0000","0.02024","0.2764"
"58","0.045678","0.01807","0.0000","0.01807","0.2590"
"59","0.026928","0.01485","0.0000","0.01485","0.1927"
"60","0.011636","0.00559","0.0000","0.00559","0.1531"
"61","0.012463","0.00393","0.0000","0.00393","0.1145"
"62","0.007376","0.00130","0.0000","0.00130","0.0647"
"63","0.004092","0.00199","0.0000","0.00199","0.0306"
"64","0.000000","0.00000","0.0000","0.00000","0.0000"
