"","quantile.MC..probs...1...c.0.01..0.015..0.02..0.025..0.04..0.05.."
"99%",4.54876401633445
"98.5%",4.18566673174976
"98%",3.95967188820476
"97.5%",3.76492508193376
"96%",3.43004355530248
"95%",3.24188916853231
"94%",3.10332174206787
"90%",2.69683400674471
"85%",2.39343085426837
"80%",2.1563385804771
"70%",1.85803502806779
